,bradn,mile,name,fuel,price,year,model,location
9646,인피니티,104000.0,G25,가솔린,950.0,2013,세단 스마트,경기
9647,랜드로버,36836.0,레인지로버 이보크,디젤,3750.0,2016,2.0 TD4 HSE 다이나믹,경기
9648,미니,71000.0,쿠퍼 D,디젤,1880.0,2016,5도어 HIGH,경기
9649,아우디,88519.0,뉴 A4,가솔린,730.0,2009,2.0 TFSI 콰트로,경기
9650,포드,96993.0,익스플로러,가솔린,1950.0,2015,3.5 리미티드 4WD,대전
9651,포드,114550.0,익스플로러,가솔린,2490.0,2017,2.3 리미티드 4WD,경기
9652,혼다,36600.0,파일럿 3세대,가솔린,2650.0,2016,3.5 엘리트,경기
9653,벤츠,57228.0,E-클래스 W213,가솔린,3890.0,2017,E200 아방가르드,부산
9654,BMW,69040.0,4시리즈 (F32),가솔린,3690.0,2016,428i M 스포츠 컨버터블,부산
9655,랜드로버,42919.0,디스커버리 스포츠,디젤,3450.0,2017,2.0 TD4 HSE 럭셔리,부산
9656,포르쉐,75500.0,파나메라,가솔린,6050.0,2014,3.0 S,대구
9657,랜드로버,42919.0,디스커버리 스포츠,디젤,3450.0,2017,2.0 TD4 HSE 럭셔리,부산
9658,BMW,69040.0,4시리즈 (F32),가솔린,3690.0,2016,428i M 스포츠 컨버터블,부산
9659,벤츠,57228.0,E-클래스 W213,가솔린,3890.0,2017,E200 아방가르드,부산
9660,재규어,86543.0,New XF,디젤,1770.0,2015,2.2D 럭셔리,경남
9661,BMW,154884.0,3시리즈 (F30),디젤,1330.0,2013,320d 투어링,경남
9662,링컨,62626.0,뉴 MKZ,가솔린,2050.0,2016,2.0 AWD,경기
9663,BMW,56053.0,4시리즈 (F32),디젤,3170.0,2018,420d xDrive 스포츠 그란쿠페,경기
9664,벤츠,61636.0,E-클래스 W212,가솔린,3600.0,2016,E200 카브리올레,경기
9665,포드,135231.0,퓨전,가솔린,480.0,2011,2.5,울산
9666,BMW,7188.0,3시리즈 (G20),가솔린+전기,5150.0,2021,330e 럭셔리,경기
9667,BMW,60724.0,5시리즈 (G30),가솔린,4290.0,2018,530i M 스포츠 플러스,경기
9668,BMW,6469.0,3시리즈 (G20),가솔린+전기,5290.0,2021,330e M 스포츠,경기
9669,BMW,8120.0,5시리즈 (G30),가솔린+전기,5990.0,2021,530e 럭셔리,경기
9670,BMW,79899.0,3시리즈 (F30),디젤,2290.0,2017,320d,경기
9671,벤츠,66206.0,C-클래스 W205,디젤,3050.0,2018,C220 d 아방가르드,부산
9672,미니,128595.0,쿠퍼,가솔린,850.0,2012,SE,경기
9673,인피니티,146520.0,G37,가솔린,650.0,2010,세단 스포츠,경기
9674,지프,25749.0,그랜드 체로키,가솔린,4090.0,2019,3.6 오버랜드,경기
9675,벤츠,66206.0,C-클래스 W205,디젤,3050.0,2018,C220 d 아방가르드,부산
9676,지프,25749.0,그랜드 체로키,가솔린,4090.0,2019,3.6 오버랜드,경기
9677,아우디,116000.0,뉴 A6,디젤,3000.0,2016,50 TDI 콰트로 프리미엄,경기
9678,BMW,112704.0,5시리즈 GT (F07),디젤,2150.0,2013,GT ED Edition,경기
9679,링컨,97137.0,뉴 MKZ,가솔린,1950.0,2016,2.0 AWD,경기
9680,폭스바겐,66000.0,골프 7세대,디젤,1690.0,2016,2.0 GTD 익스트림 에디션,대구
9681,벤츠,72940.0,C-클래스 W205,디젤,2200.0,2016,C200 d,경기
9682,BMW,600.0,5시리즈 (G30),가솔린,7034.0,2021,530i xDrive M 스포츠,충남
9683,링컨,97137.0,뉴 MKZ,가솔린,1950.0,2016,2.0 AWD,경기
9684,BMW,112704.0,5시리즈 GT (F07),디젤,2150.0,2013,GT ED Edition,경기
9685,벤츠,220000.0,CLS-클래스 W219,가솔린,595.0,2005,CLS350,경기
9686,벤츠,17000.0,GLE-클래스 W167,디젤,8420.0,2020,GLE300d 4MATIC,경기
9687,벤츠,312281.0,E-클래스 W211,디젤,489.0,2007,E220 CDI,대전
9688,아우디,192778.0,Q5,디젤,999.0,2010,2.0 TDI 콰트로,대전
9689,폭스바겐,59200.0,티구안 올스페이스,디젤,3400.0,2018,2.0 TDI 프레스티지,경기
9690,재규어,112148.0,F-PACE,디젤,2750.0,2017,20d 프레스티지,울산
9691,BMW,80375.0,4시리즈 (F32),가솔린,2450.0,2016,420i 럭셔리 그란쿠페,울산
9692,벤츠,160156.0,CLS-클래스 W218,가솔린,3300.0,2012,CLS63 AMG,대구
9693,아우디,225546.0,A5,디젤,1290.0,2013,2.0 TDI 콰트로 스포츠백,대구
9694,아우디,169939.0,뉴 A6,디젤,1440.0,2012,3.0 TDI 콰트로,대구
9695,벤츠,147910.0,E-클래스 W212,가솔린,1050.0,2012,E300 아방가르드,대구
9696,폭스바겐,59200.0,티구안 올스페이스,디젤,3400.0,2018,2.0 TDI 프레스티지,경기
