,bradn,mile,name,fuel,price,year,model,location
1062,벤츠,44596.0,S-클래스 W222,가솔린,15190.0,2018,마이바흐 S560 4MATIC,경기
1063,재규어,15143.0,XF (X260),디젤,3250.0,2018,20d 프레스티지 AWD,경기
1064,아우디,150659.0,뉴 A3,디젤,1150.0,2015,35 TDI 다이나믹 스포츠에디션,대구
1065,아우디,104701.0,뉴 A6,가솔린,1600.0,2013,2.0 TFSI 콰트로 다이나믹,경기
1066,벤츠,1123.0,S-클래스 W223,가솔린,9412.0,2021,S500L 4MATIC,경기
1067,BMW,205192.0,7시리즈 (F01),가솔린,2300.0,2012,740Li,경기
1068,폭스바겐,138909.0,뉴 투아렉,디젤,2850.0,2015,V6 3.0 TDI 블루모션 프리미엄,광주
1069,벤츠,133840.0,S-클래스 W222,가솔린,5850.0,2016,S500L 4MATIC,경기
1070,재규어,94748.0,X-TYPE,디젤,770.0,2009,2.2D,서울
1071,BMW,72279.0,6시리즈 (F12),디젤,4580.0,2017,640d xDrive M 스포츠 그란쿠페,경기
1072,BMW,249000.0,5시리즈 (F10),가솔린,970.0,2010,535i,경기
1073,볼보,58927.0,XC70,디젤,2890.0,2016,D4,경기
1074,벤츠,148559.0,C-클래스 W204,디젤,1150.0,2012,C220 CDI 아방가르드,대구
1075,푸조,44515.0,3008 2세대,디젤,2420.0,2018,1.6 BlueHDi 알뤼르,경기
1076,벤츠,7542.0,S-클래스 W223,디젤,14088.0,2021,S350 d,인천
1077,BMW,21751.0,X4 (G02),디젤,6430.0,2020,xDrive20d M 스포츠,광주
1078,BMW,84458.0,7시리즈 (G11),디젤,6300.0,2017,740d xDrive M 스포츠,경기
1079,BMW,47701.0,3시리즈 GT (F34),디젤,2900.0,2015,GT 320d xDrive,경기
1080,벤츠,124716.0,S-클래스 W222,디젤,5270.0,2015,S350L 블루텍,서울
1081,아우디,90185.0,뉴 A6,디젤,2150.0,2015,45 TDI 콰트로,경기
1082,벤츠,21140.0,GLC-클래스 X253,가솔린,5650.0,2019,GLC300 4MATIC 쿠페,부산
1083,벤츠,131219.0,S-클래스 W222,가솔린,6290.0,2016,S500L 4MATIC,경기
1084,BMW,75130.0,7시리즈 (G11),가솔린,7950.0,2018,750Li xDrive,경기
1085,벤츠,96834.0,S-클래스 W222,가솔린,6250.0,2015,S400L 4MATIC,경기
1086,벤츠,100134.0,CLS-클래스 W218,디젤,3350.0,2016,CLS250 d 4MATIC,경기
1087,벤츠,104280.0,S-클래스 W222,디젤,5490.0,2014,S350L 블루텍,경기
1088,벤츠,55249.0,A-클래스 W176,가솔린,3249.0,2017,A45 AMG 4MATIC,경기
1089,벤츠,24560.0,GLA-클래스 X156,가솔린,3799.0,2018,GLA45 AMG 4MATIC,경기
1090,BMW,159487.0,7시리즈 (F01),디젤,3399.0,2014,740d xDrive 인디비주얼,경기
1091,벤츠,152333.0,S-클래스 W222,디젤,5400.0,2016,S350 d 4MATIC,경기
1092,벤츠,114222.0,GLC-클래스 X253,디젤,4700.0,2017,GLC250 d 4MATIC 쿠페,경기
1093,폭스바겐,61834.0,파사트 GT(B8),디젤,2530.0,2018,2.0 TDI 프리미엄,서울
1094,아우디,57363.0,A4 (B9),디젤,2690.0,2018,30 TDI 프리미엄,서울
1095,인피니티,46045.0,Q50,가솔린+전기,2720.0,2018,3.5 블루 스포츠 센서리,경기
1096,벤츠,53500.0,E-클래스 W213,가솔린,5180.0,2019,E300 익스클루시브,대구
1097,벤츠,67992.0,GLE-클래스 W166,가솔린,4990.0,2017,GLE350 4MATIC,경기
1098,닛산,78365.0,알티마,가솔린,1330.0,2018,2.5,대구
1099,BMW,177709.0,7시리즈 (F01),가솔린,2350.0,2013,740i,인천
1100,포드,58848.0,머스탱,가솔린,3380.0,2017,컨버터블,경기
1101,캐딜락,57015.0,CTS 3세대,가솔린,2990.0,2018,2.0 프리미엄,경남
1102,벤츠,108597.0,S-클래스 W222,디젤,6200.0,2015,S350L 블루텍 4MATIC,경기
1103,BMW,136239.0,7시리즈 (F01),가솔린,3950.0,2015,750Li xDrive 인디비주얼,대구
1104,BMW,179808.0,5시리즈 (F10),디젤,2430.0,2014,530d xDrive M 스포츠,대구
1105,렉서스,191455.0,LS600hL,가솔린+전기,1990.0,2012,5인승,경기
1106,벤츠,47384.0,C-클래스 W205,디젤,3599.0,2018,C220 d 4MATIC,경기
1107,벤츠,57197.0,E-클래스 W213,가솔린,3990.0,2017,E300 아방가르드 인텔리전트 드라이브,서울
1108,BMW,57094.0,7시리즈 (G11),가솔린,13000.0,2019,M760Li xDrive V12 엑셀런스,경기
1109,벤츠,25689.0,A-클래스 W176,가솔린,3600.0,2018,A45 AMG 4MATIC,서울
1110,BMW,31900.0,3시리즈 (G20),디젤,4100.0,2020,320d 럭셔리,경기
1111,랜드로버,96703.0,레인지로버 4세대,가솔린,6850.0,2014,5.0 SC Vogue SE,경기
1112,캐딜락,52000.0,CTS 3세대,가솔린,2500.0,2016,2.0 프리미엄,경기
1113,포르쉐,104039.0,뉴 카이엔,디젤,6459.0,2016,3.0 디젤,경기
1114,포드,31574.0,익스플로러,가솔린,3470.0,2018,2.3 리미티드 4WD,경기
1115,벤츠,87579.0,CL-클래스 C216,가솔린,4997.0,2013,CL63 AMG,서울
1116,아우디,117715.0,뉴 A6,디젤,2530.0,2016,40 TDI 콰트로 스포츠,대구
1117,벤츠,213863.0,GLK-클래스 X204,디젤,870.0,2010,GLK220 CDI 프리미엄,인천
1118,아우디,106392.0,뉴 A4,디젤,1500.0,2016,30 TDI 리미티드 에디션,인천
1119,아우디,213341.0,Q7,디젤,2250.0,2015,35 TDI 콰트로 다이나믹,인천
1120,벤츠,29554.0,E-클래스 W213,가솔린,4380.0,2018,E200 아방가르드,경기
1121,스바루,130894.0,레거시,가솔린,680.0,2011,3.6R,경기
1122,포드,90084.0,익스플로러,가솔린,2550.0,2016,2.3 리미티드 4WD,경기
1123,BMW,95500.0,X5 (F15),디젤,4590.0,2017,xDrive 30d,부산
1124,벤츠,117079.0,S-클래스 W222,가솔린,7300.0,2015,S600L,경기
1125,벤츠,88000.0,E-클래스 W213,디젤,3830.0,2017,E220d 4MATIC 아방가르드,경기
1126,BMW,27513.0,5시리즈 (G30),가솔린,4300.0,2018,520i 럭셔리,부산
1127,렉서스,30934.0,RX450h 4세대,가솔린+전기,4980.0,2016,F-Sport,경기
1128,BMW,45000.0,M3 (E90),가솔린,5190.0,2013,M3 쿠페,서울
1129,포드,39445.0,익스플로러,가솔린,3250.0,2017,2.3 리미티드 4WD,경기
1130,지프,197100.0,그랜드 체로키,디젤,1890.0,2014,3.0 디젤 오버랜드,경기
1131,BMW,91508.0,5시리즈 (F10),디젤,2920.0,2016,520d xDrive M 에어로 다이나믹,경기
1132,폭스바겐,61834.0,파사트 GT(B8),디젤,2530.0,2018,2.0 TDI 프리미엄,서울
1133,벤츠,66423.0,GLA-클래스 X156,디젤,2540.0,2016,GLA200 d,경기
1134,벤츠,20344.0,S-클래스 W222,가솔린,14990.0,2019,S560L 4MATIC,경기
1135,벤츠,24878.0,S-클래스 W222,디젤,9390.0,2018,S350 d 4MATIC,경기
1136,벤츠,117383.0,S-클래스 W222,가솔린,5250.0,2014,S500L,경기
1137,애스턴마틴,15607.0,라피드,가솔린,11000.0,2015,6.0S V12,서울
1138,렉서스,52973.0,NX300h,가솔린+전기,4350.0,2019,이그제큐티브,광주
1139,볼보,138776.0,XC90 2세대,디젤,4490.0,2017,D5 모멘텀,서울
1140,아우디,154382.0,뉴 A8,가솔린,2557.0,2014,4.0 TFSI 콰트로 LWB,서울
1141,벤츠,93000.0,E-클래스 W212,가솔린,2799.0,2011,E63 AMG,서울
1142,아우디,129137.0,A7,가솔린,2550.0,2013,3.0 TFSI 콰트로 프레스티지,서울
1143,아우디,126592.0,Q5,디젤,1490.0,2012,2.0 TDI 콰트로,인천
1144,인피니티,46045.0,Q50,가솔린+전기,2720.0,2018,3.5 블루 스포츠 센서리,경기
1145,아우디,130247.0,뉴 A8,디젤,3850.0,2015,50 TDI 콰트로 LWB,대구
1146,벤츠,196738.0,S-클래스 W221,가솔린,2550.0,2013,S500L 데지뇨 에디션,대구
1147,벤츠,108597.0,S-클래스 W222,디젤,6200.0,2015,S350L 블루텍 4MATIC,경기
1148,렉서스,76720.0,뉴 ES300h,가솔린+전기,2790.0,2016,슈프림,대구
1149,벤츠,47384.0,C-클래스 W205,디젤,3599.0,2018,C220 d 4MATIC,경기
1150,벤츠,69108.0,S-클래스 W222,가솔린,9200.0,2016,S63 AMG 4MATIC,경기
1151,링컨,368.0,MKT,가솔린,4200.0,2014,3.5 AWD,서울
1152,벤츠,61502.0,CLS-클래스 C257,디젤,6900.0,2019,CLS400d 4MATIC,광주
1153,BMW,125573.0,X6 (F16),디젤,3950.0,2015,xDrive 30d,서울
1154,푸조,207429.0,508,디젤,780.0,2015,1.6 e-HDi 에코 터보,전북
1155,닛산,78365.0,알티마,가솔린,1330.0,2018,2.5,대구
1156,BMW,70868.0,X5 (F15),디젤,5090.0,2018,xDrive 30d,인천
1157,포르쉐,43050.0,911,가솔린,8970.0,2012,카레라 카브리올레,경기
1158,폭스바겐,48531.0,아테온,디젤,3720.0,2019,2.0 TDI 프레스티지,경기
1159,아우디,98474.0,A7,디젤,3990.0,2016,50 TDI 콰트로 스포츠,대구
1160,BMW,64085.0,7시리즈 (G11),가솔린,6990.0,2017,740Li xDrive M 스포츠,광주
1161,벤츠,96949.0,E-클래스 W212,디젤,2280.0,2016,E220 블루텍 아방가르드,대구
1162,BMW,141498.0,7시리즈 (G11),가솔린,5190.0,2016,740Li xDrive,경기
1163,벤츠,74090.0,S-클래스 W221,가솔린,3550.0,2013,S350L 블루이피션시,경기
1164,BMW,31000.0,6시리즈 GT (G32),디젤,6300.0,2020,620d M 스포츠,경기
1165,BMW,54000.0,6시리즈 GT (G32),디젤,5850.0,2020,620d M 스포츠,경기
1166,BMW,15232.0,3시리즈 GT (F34),디젤,4200.0,2021,GT 320d M 스포츠 프리미엄,경기
1167,포르쉐,165000.0,파나메라,디젤,4590.0,2014,3.0 디젤,경북
1168,폭스바겐,146726.0,페이톤,디젤,1199.0,2012,V6 3.0 TDI,경기
1169,폭스바겐,90035.0,파사트 바리안트,디젤,759.0,2008,2.0 TDI,경기
1170,BMW,91508.0,5시리즈 (F10),디젤,2920.0,2016,520d xDrive M 에어로 다이나믹,경기
1171,닛산,164150.0,로그,가솔린,490.0,2009,4WD Deluxe,경기
