,brand,mile,name,fuel,price,year,model,location,color
6568,벤츠,35488,GLC-클래스 X253,가솔린,6950,2019,AMG GLC43 4MATIC 쿠페,부산,검정색
6569,벤츠,99259,E-클래스 W213,가솔린,4690,2019,E300 익스클루시브,부산,검정색
6570,BMW,39252,5시리즈 (G30),가솔린,3990,2017,530i xDrive M 스포츠 플러스,서울,검정색
6571,벤츠,35488,GLC-클래스 X253,가솔린,6950,2019,AMG GLC43 4MATIC 쿠페,부산,검정색
6572,벤츠,99259,E-클래스 W213,가솔린,4690,2019,E300 익스클루시브,부산,검정색
6573,폭스바겐,101650,뉴 티구안,디젤,1390,2014,2.0 TDI 프리미엄,전북,검정색
6574,아우디,42479,뉴 A6,디젤,3199,2016,35 TDI 콰트로 프리미엄,경기,검정색
6575,피아트,40023,500,가솔린,1790,2016,1.4 컬러 플러스,경기,검정색
6576,쉐보레,59148,익스프레스밴,가솔린,1450,2005,6.0,경기,검정색
6577,아우디,110024,뉴 A6,가솔린,650,2009,3.0 TFSI 콰트로,경기,검정색
6578,아우디,89349,A7,가솔린,2490,2014,3.0 TFSI 콰트로 엔트리,경기,검정색
6579,폭스바겐,197000,페이톤,디젤,1690,2015,V6 3.0 TDI,전북,검정색
6580,아우디,1459,RS7 (4K),가솔린,15190,2021,4.0 TFSI 콰트로,경기,검정색
6581,포드,83000,머스탱,가솔린,2900,2016,GT 쿠페,대구,검정색
6582,벤츠,89392,CLS-클래스 W218,디젤,3920,2017,CLS250 d 4MATIC AMG Line,경기,검정색
6583,크라이슬러,199152,300C,가솔린,450,2008,2.7,울산,검정색
6584,크라이슬러,104828,더 뉴 300C,디젤,1000,2012,3.0 디젤,울산,검정색
6585,아우디,158785,뉴 A8,디젤,2380,2013,3.0 TDI 콰트로,울산,검정색
6586,벤츠,121893,C-클래스 W205,가솔린,2080,2015,C200,울산,검정색
6587,벤츠,164085,M-클래스 W166,디젤,2650,2013,ML350 블루텍 4MATIC,울산,검정색
6588,아우디,140000,Q7,디젤,1650,2009,4.2 TDI 콰트로,경기,검정색
6589,포르쉐,33000,911,가솔린,11500,2015,카레라 4S 카브리올레,경기,검정색
6590,랜드로버,153597,디스커버리 4,디젤,3770,2015,3.0 SDV6 HSE,경기,검정색
6591,랜드로버,17683,디펜더 (L663),디젤,8600,2020,110 D240 SE,경기,검정색
6592,랜드로버,5070,레인지로버 이보크 2세대,디젤,5500,2020,D150 S,경기,검정색
6593,재규어,30247,E-PACE,가솔린,3400,2018,P250 R-다이나믹 SE,경기,검정색
6594,벤츠,115000,E-클래스 W213,가솔린,3990,2017,E300 익스클루시브,전북,검정색
6595,BMW,70000,3시리즈 (F30),가솔린,2750,2018,320i M 스포츠,전북,검정색
6596,벤츠,82291,S-클래스 W221,가솔린,2440,2011,S500L,경기,검정색
6597,벤츠,502200,S-클래스,가솔린,550,1996,S320L,대전,검정색
6598,벤츠,103089,E-클래스 W213,가솔린,3770,2017,E300 아방가르드,대전,검정색
6599,캐딜락,221700,에스컬레이드,가솔린,1320,2007,6.2,대전,검정색
6600,벤츠,100087,E-클래스 W212,디젤,1890,2014,E220 CDI 아방가르드,경기,검정색
6601,포드,83000,뉴 토러스,가솔린,650,2012,3.5 SHO 에코부스트,경기,검정색
6602,도요타,74131,bB,가솔린,620,2006,1.5 ZX 2WD,울산,검정색
6603,BMW,7700,3시리즈 (G20),가솔린,6910,2021,M340i,경기,검정색
6604,벤츠,148300,C-클래스 W204,가솔린,920,2013,C200 CGI 아방가르드 스타일패키지,대구,검정색
6605,푸조,53150,3008 2세대,디젤,2299,2018,1.6 BlueHDi 알뤼르,서울,검정색
6606,벤츠,164091,C-클래스 W205,디젤,2100,2015,C220 블루텍 아방가르드,경기,검정색
6607,벤츠,54733,CLS-클래스 W218,디젤,4190,2017,CLS250 d 4MATIC AMG Line,경기,검정색
6608,폭스바겐,120031,뉴 투아렉,디젤,2050,2013,V6 3.0 TDI 블루모션,충남,검정색
6609,BMW,113472,7시리즈 (G11),디젤,4690,2016,730d xDrive,경기,검정색
6610,BMW,101588,7시리즈 (G11),디젤,5720,2017,740Ld xDrive M 스포츠,경기,검정색
6611,BMW,131903,7시리즈 (F01),디젤,3450,2015,740d xDrive 인디비주얼,경기,검정색
6612,BMW,30620,7시리즈 (G11),디젤,9850,2020,730Ld xDrive 디자인 퓨어 엑셀런스,경기,검정색
6613,BMW,94964,5시리즈 (F10),디젤,2520,2016,520d 럭셔리,경기,검정색
6614,벤츠,9100,A-클래스 W177,가솔린,3715,2020,A220 세단,세종,검정색
6615,벤츠,2700,GLE-클래스 W167,디젤,9600,2021,GLE300d 4MATIC,서울,검정색
6616,볼보,106735,XC70,디젤,2380,2015,D5,경기,검정색
6617,벤츠,112000,S-클래스 W222,가솔린,5750,2015,S500L,서울,검정색
