,bradn,mile,name,fuel,price,year,model,location
3364,아우디,15000.0,A6 (C8),가솔린,4490.0,2020,45 TFSI 콰트로,서울
3365,BMW,105286.0,X6 (F16),디젤,5150.0,2017,xDrive 40d,경기
3366,BMW,105286.0,X6 (F16),디젤,5150.0,2017,xDrive 40d,경기
3367,아우디,166123.0,뉴 A4,디젤,1190.0,2015,30 TDI,경기
3368,BMW,80175.0,7시리즈 (G11),디젤,137.0,2016,730Ld xDrive,부산
3369,볼보,89657.0,XC90 2세대,가솔린,5650.0,2017,T6 인스크립션,대전
3370,도요타,27538.0,프리우스 C,가솔린+전기,1590.0,2018,1.5,경기
3371,볼보,8195.0,XC90 2세대,가솔린,7990.0,2019,T6 인스크립션,서울
3372,아우디,14700.0,A7 (4K),가솔린,8199.0,2021,55 TFSI 콰트로 프리미엄,대구
3373,폭스바겐,141300.0,뉴 제타,디젤,750.0,2013,1.6 TDI 블루모션,울산
3374,재규어,176000.0,X-TYPE,가솔린,575.0,2008,2.5,경기
3375,포드,22000.0,F150,가솔린,11490.0,2020,3.5L,서울
3376,BMW,80481.0,5시리즈 (F10),가솔린,2300.0,2016,528i M 에어로 다이나믹,대구
3377,캐딜락,99922.0,ATS,가솔린,1279.0,2015,2.0 프리미엄,충남
3378,렉서스,54962.0,뉴 ES300h,가솔린+전기,3350.0,2016,슈프림,경기
3379,포드,1700.0,익스플로러 6세대,가솔린,5000.0,2021,2.3 리미티드 4WD,서울
3380,벤츠,48700.0,C-클래스 W205,가솔린,3600.0,2017,C200 쿠페,서울
3381,벤츠,26483.0,E-클래스 W213,디젤,5450.0,2019,E220d 익스클루시브,서울
3382,렉서스,23400.0,NX300h,가솔린+전기,4780.0,2020,이그제큐티브,서울
3383,BMW,32300.0,5시리즈 (G30),디젤,5650.0,2020,520d xDrive M 스포츠 플러스,서울
3384,BMW,22200.0,4시리즈 (F32),디젤,2867.0,2018,420d M 스포츠 쿠페,서울
3385,BMW,30200.0,5시리즈 (G30),디젤,3630.0,2018,520d M 스포츠,서울
3386,벤츠,102700.0,GLC-클래스 X253,디젤,3550.0,2018,GLC220 d 4MATIC,서울
3387,도요타,28000.0,캠리 (XV70),가솔린+전기,2750.0,2018,2.5 XLE 하이브리드,서울
3388,벤츠,58600.0,E-클래스 W213,디젤,4200.0,2017,E220d 4MATIC 익스클루시브,충북
3389,BMW,90545.0,5시리즈 (F10),디젤,2170.0,2014,520d xDrive,경기
3390,BMW,147000.0,X5 (E70),디젤,1130.0,2007,xDrive 30d,광주
3391,BMW,145330.0,5시리즈 (F10),디젤,1370.0,2011,520d,광주
3392,포드,59048.0,익스플로러,가솔린,2680.0,2016,2.3 리미티드 4WD,경기
3393,폭스바겐,94365.0,뉴 제타,디젤,1299.0,2015,2.0 TDI 블루모션 프리미엄,경기
3394,폭스바겐,94365.0,뉴 제타,디젤,1299.0,2015,2.0 TDI 블루모션 프리미엄,경기
3395,아우디,105629.0,뉴 A6,디젤,1490.0,2012,3.0 TDI 콰트로,경기
3396,벤츠,79171.0,C-클래스 W205,가솔린,3390.0,2016,C200 쿠페,경기
3397,BMW,50364.0,7시리즈 (G11),가솔린,7350.0,2017,750Li xDrive,경기
3398,BMW,1034.0,X3 (G01),가솔린,7890.0,2021,xDrive M40i,경기
3399,BMW,73971.0,5시리즈 (G30),디젤,3780.0,2017,520d M 스포츠 플러스,경기
3400,BMW,196315.0,5시리즈 (F10),가솔린,899.0,2011,528i,경남
3401,푸조,14350.0,2008,디젤,1760.0,2018,1.6 BlueHDi 알뤼르 GC,경기
3402,미니,4057.0,쿠퍼 컨트리맨,가솔린,3450.0,2020,HIGH,서울
3403,벤츠,83727.0,E-클래스 W212,디젤,2499.0,2016,E220 블루텍 아방가르드,경기
3404,벤츠,58000.0,CLS-클래스 C257,디젤,7450.0,2019,CLS400d 4MATIC AMG Line,인천
3405,BMW,65500.0,4시리즈 (F32),가솔린,3180.0,2018,420i 럭셔리 그란쿠페,울산
3406,BMW,103489.0,M3 (E90),가솔린,3200.0,2011,M3 쿠페,경기
3407,벤츠,81801.0,C-클래스 W205,디젤,2650.0,2016,C220 d 아방가르드,부산
3408,BMW,47000.0,3시리즈 GT (F34),디젤,3650.0,2020,GT 320d,부산
3409,벤츠,81801.0,C-클래스 W205,디젤,2650.0,2016,C220 d 아방가르드,부산
3410,볼보,16872.0,S90,가솔린,4950.0,2019,T5 인스크립션,광주
3411,포르쉐,129252.0,뉴 카이엔,디젤,2999.0,2012,3.0 디젤,대구
3412,벤츠,26207.0,A-클래스 W176,가솔린,3290.0,2018,A45 AMG 4MATIC,경기
3413,볼보,16872.0,S90,가솔린,4950.0,2019,T5 인스크립션,광주
3414,BMW,27800.0,5시리즈 (G30),디젤,4500.0,2018,520d M 스포츠 플러스,서울
3415,지프,58277.0,체로키(KL),가솔린,2390.0,2019,2.4 론지튜드 AWD,경기
3416,벤츠,178090.0,GLK-클래스 X204,디젤,1850.0,2015,GLK220 CDI,대구
3417,BMW,86800.0,M3 (F80),가솔린,4400.0,2015,M3 세단,서울
3418,마세라티,3600.0,르반떼,가솔린,9000.0,2020,3.0 AWD 그란루쏘,울산
3419,도요타,180616.0,프리우스,가솔린+전기,750.0,2012,1.8,경기
3420,BMW,158736.0,5시리즈 GT (F07),가솔린,1580.0,2012,GT xDrive,경기
3421,렉서스,49000.0,NX300h,가솔린+전기,4099.0,2019,이그제큐티브,경기
3422,폭스바겐,13721.0,티구안 2세대,디젤,3580.0,2020,2.0 TDI 프레스티지,경기
3423,푸조,165750.0,308SW,디젤,520.0,2013,1.6 e-HDi,경기
3424,아우디,152605.0,뉴 A4,가솔린,550.0,2010,2.0 TFSI,경기
3425,BMW,213151.0,5시리즈 (F10),디젤,850.0,2011,520d,경기
3426,볼보,154259.0,S40,가솔린,450.0,2009,2.4i,경기
3427,아우디,96132.0,뉴 A6,디젤,1799.0,2014,3.0 TDI 콰트로,경기
3428,BMW,125340.0,7시리즈 (G11),디젤,4590.0,2016,730d xDrive,전남
3429,폭스바겐,61340.0,폴로,디젤,1100.0,2015,1.4 TDI R-Line,서울
