,brand,name,type,km,year,accident,color,location,price,wd,trim
161,렉서스,X3,하이브리드,23548,2019,무사고,회색,서울,4290,2WD,슈프림
162,렉서스,S3,하이브리드,27809,2018,무사고,회색,부산,3850,2WD,슈프림+
163,렉서스,X4,하이브리드,75062,2018,무사고,회색,광주,5180,2WD,이그제큐티브
165,렉서스,X3,하이브리드,5050,2020,무사고,회색,경기,5390,2WD,이그제큐티브
166,렉서스,X3,하이브리드,29930,2019,무사고,회색,경기,4350,2WD,슈프림
167,렉서스,X4,하이브리드,46706,2019,무사고,회색,경기,5900,2WD,이그제큐티브
168,렉서스,S3,하이브리드,39807,2019,무사고,회색,서울,4430,2WD,럭셔리 플러스
169,렉서스,X4,하이브리드,45063,2019,무사고,회색,경기,5960,2WD,이그제큐티브
170,렉서스,X3,하이브리드,35853,2017,무사고,회색,서울,3350,2WD,슈프림
171,렉서스,200,하이브리드,29021,2016,무사고,회색,인천,2380,2WD,슈프림
172,렉서스,S3,하이브리드,68951,2015,무사고,회색,경기,2550,2WD,프리미엄
173,렉서스,S3,하이브리드,88150,2019,무사고,회색,경기,4450,2WD,럭셔리 플러스
174,렉서스,200,하이브리드,44272,2018,무사고,회색,경기,2750,2WD,슈프림
175,렉서스,500,하이브리드,44284,2018,무사고,회색,경기,7790,AWD,럭셔리
176,렉서스,S3,가솔린,159043,2013,무사고,회색,부산,1280,2WD,슈프림
177,렉서스,S3,하이브리드,193413,2013,무사고,회색,경기,1590,2WD,슈프림
178,렉서스,S3,하이브리드,84808,2018,무사고,회색,경기,3449,2WD,슈프림+
179,렉서스,S3,하이브리드,54308,2018,무사고,회색,경기,3550,2WD,슈프림+
180,렉서스,S3,하이브리드,37616,2014,무사고,회색,부산,2560,2WD,슈프림
181,렉서스,X3,하이브리드,146487,2015,무사고,회색,인천,2660,2WD,이그제큐티브
182,렉서스,500,가솔린,61063,2019,무사고,회색,경기,7490,AWD,플래티넘
183,렉서스,200,하이브리드,69676,2017,무사고,회색,서울,1899,2WD,슈프림
184,렉서스,X3,하이브리드,79503,2016,무사고,회색,경기,3000,2WD,슈프림
185,렉서스,S3,가솔린,92866,2010,무사고,회색,경기,940,2WD,프리미엄
186,렉서스,200,하이브리드,18314,2019,무사고,회색,경기,3050,2WD,슈프림
187,렉서스,S3,하이브리드,32827,2017,무사고,회색,경기,9999,2WD,슈프림
188,렉서스,500,가솔린,52389,2018,무사고,기타,경기,7300,AWD,럭셔리
189,렉서스,X4,하이브리드,57475,2019,무사고,기타,서울,5450,2WD,이그제큐티브
190,렉서스,S3,하이브리드,80566,2017,무사고,기타,부산,2950,2WD,슈프림
191,렉서스,S3,가솔린,75964,2005,무사고,회색,경기,530,2WD,P-Grade
192,렉서스,S3,가솔린,134306,2007,무사고,회색,서울,590,2WD,슈페리어
194,렉서스,S3,가솔린,112159,2009,무사고,회색,경기,670,2WD,프리미엄
195,렉서스,IS250,가솔린,82630,2008,무사고,회색,서울,850,2WD,프리미엄
197,렉서스,X3,가솔린,94625,2010,무사고,회색,경기,1550,2WD,Premium
198,렉서스,IS250,가솔린,135849,2008,무사고,회색,충남,699,2WD,프리미엄
199,렉서스,S3,가솔린,136194,2009,무사고,회색,경기,690,2WD,프리미엄
200,렉서스,S3,가솔린,57234,2007,무사고,회색,서울,850,2WD,슈페리어
201,렉서스,GS250,가솔린,76955,2013,무사고,회색,서울,1950,2WD,슈프림
202,렉서스,S3,하이브리드,38734,2016,무사고,회색,경기,3210,2WD,슈프림
203,렉서스,S3,가솔린,88586,2012,무사고,회색,서울,1150,2WD,프리미엄
204,렉서스,S3,가솔린,150197,2008,무사고,회색,서울,590,2WD,슈페리어
205,렉서스,S3,가솔린,69244,2006,무사고,회색,서울,630,2WD,P-Grade
206,렉서스,X4,하이브리드,133574,2013,무사고,회색,경기,9999,2WD,슈프림
207,렉서스,S3,하이브리드,72336,2013,무사고,회색,전북,1980,2WD,슈프림
208,렉서스,X2,하이브리드,17774,2019,무사고,회색,경기,3580,2WD,2.0
209,렉서스,S3,가솔린,143122,2009,무사고,회색,인천,610,2WD,프리미엄
211,렉서스,S3,가솔린,116156,2002,무사고,회색,경기,229,2WD,P-Grade
212,렉서스,S3,가솔린,147795,2005,무사고,회색,서울,450,2WD,P-Grade
213,렉서스,S3,가솔린,95645,2008,무사고,회색,부산,830,2WD,STD
214,렉서스,S3,가솔린,144501,2010,무사고,회색,경기,770,2WD,프리미엄
215,렉서스,X4,하이브리드,99932,2012,무사고,회색,경기,1880,2WD,크리스털 에디션
216,렉서스,S3,가솔린,82243,2007,무사고,회색,대구,790,2WD,슈페리어
217,렉서스,S3,가솔린,73638,2013,무사고,회색,경기,1890,2WD,슈프림
218,렉서스,S3,가솔린,166523,2014,무사고,회색,경기,1300,2WD,슈프림
219,렉서스,S3,가솔린,159709,2003,무사고,회색,부산,290,2WD,P-Grade
221,렉서스,S3,가솔린,146602,2013,무사고,회색,경기,1580,2WD,이그제큐티브
222,렉서스,200,하이브리드,160095,2011,무사고,회색,경기,949,2WD,컴팩트 트랜디
224,렉서스,LS,가솔린,235186,2007,무사고,회색,경기,750,2WD,STD
225,렉서스,S3,가솔린,92505,2007,무사고,회색,부산,650,2WD,슈페리어
