,brand,name,type,km,year,accident,color,location,price,wd,trim
55,마세라티,포르테,디젤,106701,2017,무사고,흰색,경기,5750,2WD,3.0그란루쏘
56,마세라티,르반떼,가솔린,56145,2018,무사고,흰색,서울,7990,AWD,3.0그란루쏘
57,마세라티,포르테,디젤,3757,2020,무사고,흰색,경기,11383,2WD,3.0그란루쏘
58,마세라티,르반떼,가솔린,60813,2018,무사고,흰색,경기,8180,AWD,3.0그란루쏘
59,마세라티,기블리,가솔린,44055,2016,무사고,흰색,경기,5880,4WD,3.0S Q4
60,마세라티,르반떼,가솔린,35557,2019,무사고,흰색,경기,7990,AWD,3.0
61,마세라티,포르테,가솔린,99245,2011,무사고,흰색,광주,2790,2WD,4.2 V8
62,마세라티,기블리,디젤,146331,2015,무사고,흰색,경기,3190,2WD,3.0
63,마세라티,기블리,가솔린,25048,2015,무사고,흰색,부산,5070,2WD,3.0
64,마세라티,기블리,디젤,188668,2016,무사고,흰색,경기,3070,2WD,3.0
65,마세라티,기블리,디젤,59183,2018,무사고,흰색,서울,5690,2WD,3.0
66,마세라티,기블리,가솔린,71521,2018,무사고,흰색,경기,6490,4WD,3.0S Q4
67,마세라티,르반떼,가솔린,67516,2017,무사고,흰색,서울,6950,AWD,3.0 S프리미엄
68,마세라티,기블리,디젤,160033,2014,무사고,흰색,경기,3050,2WD,3.0
69,마세라티,기블리,가솔린,90543,2015,무사고,흰색,경기,4690,4WD,3.0S Q4
70,마세라티,기블리,디젤,56028,2017,무사고,흰색,대구,5199,2WD,3.0
71,마세라티,르반떼,디젤,62529,2017,무사고,흰색,경기,6690,AWD,3.0 프리미엄
72,마세라티,르반떼,가솔린,56802,2018,무사고,흰색,경기,7499,AWD,3.0그란루쏘
73,마세라티,르반떼,디젤,38475,2017,무사고,흰색,경기,7080,AWD,3.0 스포츠
74,마세라티,기블리,디젤,85088,2016,무사고,흰색,경기,4330,2WD,3.0스포츠
75,마세라티,르반떼,디젤,55330,2017,무사고,흰색,서울,6680,AWD,3.0 스포츠
76,마세라티,르반떼,디젤,80971,2018,무사고,흰색,광주,7600,AWD,3.0 프리미엄
77,마세라티,기블리,가솔린,31768,2016,무사고,흰색,경기,5900,4WD,3.0S Q4
78,마세라티,르반떼,가솔린,66502,2017,무사고,흰색,광주,7050,AWD,3.0 S프리미엄
79,마세라티,기블리,가솔린,40303,2014,무사고,흰색,경기,4560,2WD,3.0
80,마세라티,기블리,가솔린,112979,2016,무사고,흰색,경기,4800,4WD,3.0S Q4
81,마세라티,기블리,가솔린,37852,2016,무사고,흰색,경기,5980,4WD,3.0S Q4
82,마세라티,기블리,가솔린,59156,2016,무사고,흰색,대구,5680,4WD,3.0S Q4
83,마세라티,포르테,디젤,135014,2014,무사고,흰색,전북,4300,2WD,3.0
84,마세라티,르반떼,디젤,30926,2017,무사고,흰색,경기,99999,AWD,3.0 프리미엄
85,마세라티,기블리,가솔린,41882,2018,무사고,흰색,광주,6750,4WD,3.0S Q4
86,마세라티,르반떼,디젤,12555,2018,무사고,흰색,경기,7950,AWD,3.0 그란스포츠
87,마세라티,포르테,가솔린,104673,2017,무사고,흰색,경기,6550,4WD,S Q4 3.0 V6 그란루쏘
88,마세라티,기블리,디젤,59287,2018,무사고,흰색,경기,5790,2WD,3.0
