,제조사,모델명,옵션명,연식,주행거리,연료,색상,가격
1906,폭스바겐,티구안 올스페이스(2세대),2.0 TDI 프레스티지,2018,"55,000Km",경유,흰색,"3,270"
1907,벤츠,C클래스(W205),C220d 아방가르드,2017,"51,158Km",경유,흰색,"2,899"
1908,랜드로버,레인지로버이보크(1세대),2.0TD4 SE,2016,"85,378Km",경유,흰색,"2,699"
1909,BMW,5시리즈(F10),520d xDrive M에어로다이내믹,2016,"113,843Km",경유,흰색,"2,629"
1910,랜드로버,디스커버리4,3.0 SDV6 HSE ,2017,"85,600Km",경유,흰색,"5,399"
1911,BMW,1시리즈(F20),118d5도어 스포츠,2016,"113,712Km",경유,흰색,"1,539"
1912,쉐보레/대우,트레일블레이저,1.35터보AWD 액티브,2021,"28,282Km",휘발유,흰색,"2,539"
1913,BMW,4시리즈 그란쿠페(F36),420d xDrive 럭셔리,2015,"135,331Km",경유,흰색,"1,899"
1914,르노삼성,뉴SM3(2세대),가솔린 1.6 RE,2011,"84,066Km",휘발유,흰색,580
1915,기아,더뉴K7,2.4GDI 프레스티지스페셜,2013,"49,008Km",휘발유,흰색,"1,590"
1916,아우디,NEW A4,30TDI ,2015,"99,925Km",경유,흰색,"1,299"
1917,BMW,1시리즈(F20),118d5도어 M스포츠,2013,"166,457Km",경유,흰색,"1,230"
1918,기아,스포티지더볼드,디젤2.0 2WD 럭셔리,2019,"20,456Km",경유,흰색,"1,960"
1919,벤츠,뉴C클래스,C200CGI아방가르드 ,2012,"126,493Km",휘발유,흰색,"1,099"
1920,르노삼성,SM7노바,가솔린2.5 RE,2016,"100,000Km",휘발유,흰색,"1,159"
1921,기아,쏘울,1.6 2U 최고급형,2010,"100,000Km",휘발유,흰색,589
1922,기아,K7,VG270 럭셔리 프리미엄,2010,"120,000Km",휘발유,흰색,599
1923,르노삼성,SM7노바,가솔린2.5 RE,2015,"45,000Km",휘발유,흰색,"1,399"
1924,쉐보레/대우,어메이징뉴크루즈,디젤2.0LTZ ,2015,"62,135Km",경유,흰색,820
1925,기아,그랜드카니발,GLX 기본형,2009 ,"223,641Km",경유,흰색,310
1926,기아,스포티지더볼드,디젤2.0 2WD 인텔리전트,2019,"32,083Km",경유,흰색,"2,339"
1927,현대,베뉴,1.6가솔린 모던,2020,"36,537Km",휘발유,흰색,"1,780"
1928,르노삼성,SM6,2.0 프라임 SE,2019,"70,764Km",휘발유,흰색,"1,450"
1929,르노삼성,뉴SM3(2세대),가솔린 1.6 LE,2011,"115,377Km",휘발유,흰색,310
1930,기아,올뉴모닝(JA),밴 고급형,2020,"5,482Km",휘발유,흰색,660
1931,르노삼성,SM6,2.0 GDe SE,2016,"28,449Km",휘발유,흰색,"1,190"
1932,쉐보레/대우,뉴다마스,5인승코치 리빅,2021,"21,637Km",LPG,흰색,830
1933,기아,카니발R,그랜드카니발프레지던트 ,2010,"143,450Km",경유,흰색,790
1934,기아,카니발(4세대),디젤 7인승 시그니처 ,2021,"28,080Km",경유,흰색,"4,590"
1935,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"40,386Km",휘발유,흰색,"2,690"
1936,아우디,뉴A6,35TDI다이나믹 ,2015,"59,442Km",경유,흰색,"2,260"
1937,현대,그랜저HG 하이브리드,프리미엄 ,2016,"57,184Km",휘발유+전기,흰색,"2,190"
1938,쉐보레/대우,어메이징뉴크루즈,1.4LTZ ,2016,"79,308Km",휘발유,흰색,820
1939,볼보,XC60(1세대),D5 ,2014,"89,446Km",경유,흰색,"2,120"
1940,토요타,시에나,2WD 2.7,2012,"175,309Km",휘발유,흰색,"1,250"
1941,기아,봉고3,1톤윙바디CRDi ,2015,"122,630Km",경유,흰색,"1,260"
1942,기아,올뉴K3,프레스티지 ,2019,"41,147Km",휘발유,흰색,"1,590"
1943,기아,더뉴프라이드, ,2013,"116,773Km",휘발유,흰색,530
1944,쉐보레/대우,스파크,LPG LS 기본형,2014,"113,969Km",LPG,흰색,410
1945,기아,봉고3,1톤킹캡초장축CRDi 럭셔리,2017,"160,556Km",경유,흰색,"1,090"
1946,현대,아반떼MD,M16GDi 프리미어 ,2011,"136,372Km",휘발유,흰색,580
1947,현대,벨로스터(JS),2.0터보 N 기본형,2019,"66,726Km",휘발유,흰색,"2,350"
1948,아우디,A5,35TDI콰트로 스포츠백,2015,"193,366Km",경유,흰색,"1,190"
1949,르노삼성,뉴SM3(2세대),가솔린 1.6 SE플러스,2013,"64,308Km",휘발유,흰색,580
1950,기아,K5,LPI프레스티지 ,2011,"289,644Km",LPG,흰색,360
1951,닛산,맥시마,맥시마(A36) 3.5 플래티넘 ,2018,"76,128Km",휘발유,흰색,"2,090"
1952,현대,YF쏘나타 하이브리드,2.0 HEV 모던,2015,"158,088Km",휘발유+전기,흰색,730
1953,기아,레이,밴 고급형,2017,"72,276Km",휘발유,흰색,760
1954,기아,레이,밴 고급형,2017,"24,735Km",휘발유,흰색,880
1955,기아,K3,디젤 프레스티지 ,2015,"156,412Km",경유,흰색,780
1956,현대,포터2,초장축더블캡CRDi ,2013,"174,000Km",경유,흰색,730
1957,기아,K5,LPI럭셔리 ,2016 ,"113,277Km",LPG,흰색,"1,020"
1958,기아,모하비,4WD QV300 최고급형,2008,"269,790Km",경유,흰색,730
1959,현대,쏘나타뉴라이즈,2.0 LPI 스타일,2018,"99,000Km",LPG,흰색,"1,089"
1960,기아,더뉴K5,LPI디럭스 ,2014,"184,966Km",LPG,흰색,590
1961,기아,K5 2세대,1.7디젤 SX 프레스티지,2016,"80,831Km",경유,흰색,"1,350"
1962,캐딜락,CTS(3세대),2.0T 럭셔리,2016,"64,848Km",휘발유,흰색,"2,050"
1963,르노삼성,SM6,2.0 GDe LE,2016,"135,984Km",휘발유,흰색,970
1964,기아,뉴쏘렌토R,디젤2.0 2WD 트렌디,2014,"178,000Km",경유,흰색,"1,090"
1965,쌍용,티볼리,디젤 2WD LX,2016,"190,942Km",경유,흰색,790
1966,폭스바겐,더뉴파사트(NMS),2.0TDI ,2013,"195,650Km",경유,흰색,599
1967,기아,봉고3,1톤킹캡초장축CRDi GLX,2011,"135,821Km",경유,흰색,569
1968,폭스바겐,골프(6세대),2.0TDI ,2010,"192,572Km",경유,흰색,420
1969,현대,LF쏘나타,LPI 모던(장애인용) ,2014,"182,973Km",LPG,흰색,930
1970,기아,더뉴쏘렌토,디젤2.2 4WD 프레스티지,2018,"111,000Km",경유,흰색,"2,390"
1971,BMW,3시리즈(F30),320d ED,2016,"159,919Km",경유,흰색,"1,540"
1972,쉐보레/대우,올뉴말리부,가솔린1.5터보LTZ 프리미엄세이프티,2018,"38,506Km",휘발유,흰색,"1,930"
1973,기아,K3,노블레스 ,2013,"73,137Km",휘발유,흰색,"1,099"
1974,기아,더뉴K5,LPI디럭스 ,2014,"184,966Km",LPG,흰색,590
1975,기아,K5 2세대,1.7디젤 SX 프레스티지,2016,"80,831Km",경유,흰색,"1,350"
1976,캐딜락,CTS(3세대),2.0T 럭셔리,2016,"64,848Km",휘발유,흰색,"2,050"
1977,르노삼성,SM6,2.0 GDe LE,2016,"135,984Km",휘발유,흰색,970
1978,기아,뉴쏘렌토R,디젤2.0 2WD 트렌디,2014,"178,000Km",경유,흰색,"1,090"
1979,쌍용,티볼리,디젤 2WD LX,2016,"190,942Km",경유,흰색,790
1980,폭스바겐,더뉴파사트(NMS),2.0TDI ,2013,"195,650Km",경유,흰색,599
1981,기아,봉고3,1톤킹캡초장축CRDi GLX,2011,"135,821Km",경유,흰색,569
1982,닛산,큐브,1.8S ,2011,"139,927Km",휘발유,흰색,480
1983,기아,포르테 해치백,1.6GDI 프레스티지 기본형,2011,"131,590Km",휘발유,흰색,490
1984,현대,더뉴아반떼AD,G1.6 프리미엄 ,2019,"27,328Km",휘발유,흰색,"1,730"
1985,아우디,Q5,2.0TDI콰트로 ,2010,"186,609Km",경유,흰색,930
1986,현대,제네시스DH,G330프리미엄AWD ,2015,"106,428Km",휘발유,흰색,"2,290"
1987,현대,그랜드스타렉스,11인승왜건HVX VIP팩,2012,"139,578Km",경유,흰색,950
1988,현대,그랜드스타렉스,5인승밴 스마트,2017,"121,349Km",경유,흰색,"1,500"
1989,기아,K5 2세대,2.0 MX 럭셔리,2018,"82,404Km",휘발유,흰색,"1,290"
1990,현대,올뉴투싼(TL),디젤1.7 2WD 모던,2017,"74,780Km",경유,흰색,"1,790"
1991,기아,모닝,LX 스페셜,2008,"52,868Km",휘발유,흰색,190
1992,쌍용,로디우스유로,11인승 4WD RD500 ,2013,"244,510Km",경유,흰색,410
1993,쉐보레/대우,스파크,LT 기본형,2011,"71,294Km",휘발유,흰색,420
1994,현대,LF쏘나타,2.0 스타일 스페셜,2015,"175,682Km",휘발유,흰색,670
1995,현대,싼타페CM,2WD(2.0VGT)MLX 기본형,2008,"148,000Km",경유,흰색,440
1996,쌍용,코란도스포츠,CX5 2WD 패션,2016 ,"183,551Km",경유,흰색,999
1997,기아,올뉴모닝,럭셔리 ,2012,"162,762Km",휘발유,흰색,390
1998,현대,포터2,냉장탑차 ,2015,"166,000Km",경유,흰색,"1,330"
1999,현대,그랜드스타렉스,리무진11인승 ,2014,"95,538Km",경유,흰색,"1,799"
2000,포르쉐,마칸(1세대),3.0S디젤 ,2015,"150,668Km",경유,흰색,"3,949"
2001,벤츠,뉴E클래스,E200카브리올레 ,2017,"52,901Km",휘발유,흰색,"3,600"
2002,기아,더뉴모하비,3.0 4WD 프레지던트,2017,"101,571Km",경유,흰색,"2,590"
2003,쉐보레/대우,트랙스,1.4 LT ,2014,"82,778Km",휘발유,흰색,880
2004,현대,올뉴투싼(TL),디젤1.7 2WD 모던피버,2016,"200,621Km",경유,흰색,"1,200"
2005,기아,올뉴K3,프레스티지 ,2019 ,"75,347Km",휘발유,흰색,"1,230"
2006,쉐보레/대우,트랙스,1.4 LT 디럭스 ,2014 ,"111,167Km",휘발유,흰색,780
2007,현대,더뉴아반떼MD,1.6GDi 모던 기본형,2015,"50,671Km",휘발유,흰색,"1,130"
2008,푸조,208(1세대),1.6e-HDi5도어 알뤼르,2017,"33,434Km",경유,흰색,"1,130"
2009,현대,팰리세이드,3.8가솔린AWD 캘리그래피,2021,"21,013Km",휘발유,흰색,"4,650"
2010,재규어,XE,20t 프레스티지,2016,"85,334Km",휘발유,흰색,"1,780"
2011,기아,더뉴카니발,9인승 럭셔리,2019,"87,501Km",경유,흰색,"2,120"
2012,쌍용,렉스턴스포츠,디젤2.2 2WD 프레스티지,2018,"108,409Km",경유,흰색,"1,899"
2013,BMW,3시리즈(F30),320i M스포츠패키지,2017,"80,719Km",휘발유,흰색,"2,579"
2014,르노삼성,QM3,RE시그니처 ,2017,"46,664Km",경유,흰색,"1,290"
2015,아우디,S4,3.0TFSI콰트로 ,2010,"111,449Km",휘발유,흰색,"1,180"
2016,현대,포터2,더블캡 ,2012,"200,675Km",경유,흰색,720
2017,현대,i30,1.6VVT 디럭스 ,2008,"90,000Km",휘발유,흰색,370
2018,현대,그랜드스타렉스,5인승밴 CVX디럭스,2008,"192,279Km",경유,흰색,480
2019,쉐보레/대우,토스카프리미엄6,L6 2.0 CDX ,2008,"86,327Km",휘발유,흰색,240
2020,쌍용,슈퍼렉스턴,4WD RX4 브라운에디션,2012 ,"115,347Km",경유,흰색,630
2021,BMW,4시리즈(F32/33),428i컨버터블 ,2017,"32,565Km",휘발유,흰색,"4,050"
2022,BMW,5시리즈(F10),528i 럭셔리,2014 ,"175,082Km",휘발유,흰색,"1,650"
2023,현대,그랜저IG,3.0LPi 모던,2017,"78,157Km",LPG,흰색,"2,030"
2024,쉐보레/대우,더뉴스파크,마이핏에디션 프리미어,2019,"6,860Km",휘발유,흰색,"1,110"
2025,인피니티,Q50,2.2d 프리미엄,2014,"122,563Km",경유,흰색,930
2026,기아,더뉴K5 2세대,2.0LPI(택시형) 럭셔리,2018,"104,108Km",LPG,흰색,"1,140"
2027,기아,봉고3,1톤더블캡초장축CRDi 프레스티지,2016,"112,490Km",경유,흰색,"1,050"
2028,현대,포터2,캠핑카 ,2017,"61,376Km",경유,흰색,"3,250"
2029,현대,팰리세이드,2.2디젤2WD 프레스티지,2021,"49,097Km",경유,흰색,"4,090"
2030,기아,더뉴K5 2세대,2.0LPI 프레스티지,2019,"75,173Km",LPG,흰색,"1,600"
2031,쌍용,베리뉴티볼리,1.6디젤 2WD V1,2020,"51,564Km",경유,흰색,"1,590"
2032,현대,아반떼CN7,1.6가솔린 모던,2021,"45,550Km",휘발유,흰색,"1,790"
2033,기아,쏘울,1.6 2U 고급형,2010,"95,460Km",휘발유,흰색,490
2034,기아,더프레스티지K7,2.4GDI 럭셔리,2012,"128,761Km",휘발유,흰색,480
2035,기아,봉고3,내장탑차 ,2012,"108,690Km",경유,흰색,730
2036,폭스바겐,뉴CC,2.0TDI블루모션4MOTION ,9999,"70,159Km",경유,흰색,780
2037,아우디,뉴A6,3.0TFSI콰트로 ,2009,"117,378Km",휘발유,흰색,490
2038,대형트럭(2톤이상),마이티,마이티2 ,2002,"554,141Km",경유,흰색,"1,390"
2039,쉐보레/대우,뉴다마스,2인승판넬밴 슈퍼,2018,"141,849Km",LPG,흰색,420
2040,기아,카니발R,그랜드카니발GLX ,2011 ,"207,812Km",경유,흰색,480
2041,현대,엑센트(신형),위트1.6VGT모던 스페셜,2014,"153,269Km",경유,흰색,520
2042,쉐보레/대우,크루즈,1.8LTZ+퍼펙트블랙 ,2014,"135,829Km",휘발유,흰색,599
2043,재규어,X-Type,2.1 ,2007,"142,870Km",휘발유,흰색,520
2044,쉐보레/대우,더뉴스파크,프리미어 ,2019,"13,086Km",휘발유,흰색,950
2045,랜드로버,레인지로버이보크(1세대),2.0TD4 SE,2016,"135,003Km",경유,흰색,"2,599"
2046,벤츠,GLC클래스(X253),GLC220d 4MATIC 프리미엄,2016,"130,835Km",경유,흰색,"3,300"
2047,아우디,A7,3.0 TDI 콰트로 프레스티지,2014,"163,546Km",경유,흰색,"2,440"
2048,현대,포터2,슈퍼캡냉동탑차(PORTER2) ,2009,"173,447Km",경유,흰색,430
2049,기아,K3,디럭스 ,2015,"56,713Km",휘발유,흰색,890
2050,현대,더뉴그랜저IG,3.3가솔린 캘리그래피,2020,"17,880Km",휘발유,흰색,"3,740"
2051,기아,뉴모닝,LX 블랙프리미엄,2008,"87,144Km",휘발유,흰색,260
2052,쉐보레/대우,트레일블레이저,1.35터보AWD RS,2021,"9,166Km",휘발유,흰색,"2,899"
2053,기아,올뉴K3,럭셔리 ,2019,"55,403Km",휘발유,흰색,"1,190"
2054,쌍용,티볼리,가솔린 2WD 엣지에디션,2017,"69,740Km",휘발유,흰색,"1,230"
2055,BMW,3시리즈(F30),320d 모던,2016,"45,597Km",경유,흰색,"2,250"
2056,기아,올뉴카니발,9인승 럭셔리,2015,"177,371Km",경유,흰색,"1,230"
2057,르노삼성,SM3네오(2세대),가솔린1.6 SE,2015,"81,904Km",휘발유,흰색,600
2058,쉐보레/대우,토스카,L6 2.0 SX 고급형,2007,"125,000Km",LPG,흰색,160
2059,BMW,5시리즈(F10),520d 럭셔리,2013,"222,614Km",경유,흰색,"1,170"
2060,폭스바겐,더뉴파사트(NMS),2.0TDI ,2013,"217,526Km",경유,흰색,530
2061,BMW,5시리즈(F10),520d M스포츠,2013,"210,106Km",경유,흰색,"1,250"
2062,랜드로버,레인지로버스포츠(1세대),3.0 SDV6 HSE,2013,"269,970Km",경유,흰색,"1,998"
2063,현대,아반떼AD,1.6GDi 스마트 기본형,2016,"142,721Km",휘발유,흰색,930
2064,쉐보레/대우,스파크,L ,2014 ,"119,412Km",휘발유,흰색,230
2065,쉐보레/대우,더넥스트스파크,LT ,2016 ,"25,716Km",휘발유,흰색,670
2066,기아,카니발R,그랜드카니발GLX ,2011 ,"207,812Km",경유,흰색,480
2067,현대,엑센트(신형),위트1.6VGT모던 스페셜,2014,"153,269Km",경유,흰색,520
2068,쉐보레/대우,크루즈,1.8LTZ+퍼펙트블랙 ,2014,"135,829Km",휘발유,흰색,599
2069,재규어,X-Type,2.1 ,2007,"142,870Km",휘발유,흰색,520
2070,쉐보레/대우,더뉴스파크,프리미어 ,2019,"13,086Km",휘발유,흰색,950
2071,랜드로버,레인지로버이보크(1세대),2.0TD4 SE,2016,"135,003Km",경유,흰색,"2,599"
2072,벤츠,GLC클래스(X253),GLC220d 4MATIC 프리미엄,2016,"130,835Km",경유,흰색,"3,300"
2073,아우디,A7,3.0 TDI 콰트로 프레스티지,2014,"163,546Km",경유,흰색,"2,440"
2074,벤츠,GLA클래스,GLA220 프리미엄,2018,"147,341Km",휘발유,흰색,"2,500"
2075,기아,스포티지4세대(QL),디젤2.0 2WD 프레스티지,2018,"140,308Km",경유,흰색,"1,320"
2076,혼다,오딧세이(5세대),3.5 ,2019,"93,206Km",휘발유,흰색,"3,390"
2077,재규어,XF(1세대),3.0디젤 럭셔리,2013,"100,750Km",경유,흰색,"1,090"
2078,기아,더뉴카니발,11인승 디럭스,2019,"8,400Km",경유,흰색,"2,250"
2079,쉐보레/대우,올뉴말리부,가솔린1.5터보LTZ 프리미엄세이프티,9999,"155,162Km",휘발유,흰색,"1,199"
2080,링컨,뉴MKZ,2.0 2WD,2019,"40,880Km",휘발유,흰색,"2,790"
2081,현대,아슬란,G300 모던 ,2015,"119,942Km",휘발유,흰색,"1,310"
2082,BMW,5시리즈(F10),520d ,2013,"202,622Km",경유,흰색,"1,140"
2083,기아,레이,프레스티지 ,2016,"165,589Km",휘발유,흰색,770
2084,벤츠,GLA클래스,GLA45 AMG 4MATIC ,2016,"76,135Km",휘발유,흰색,"3,200"
2085,현대,아반떼AD,1.6터보 스포츠 ,2017,"70,170Km",휘발유,흰색,"1,270"
2086,쌍용,코란도스포츠,CX7 4WD 패션,2012 ,"171,481Km",경유,흰색,750
2087,인피니티,Q50,2.2d 프리미엄 ,2015 ,"170,074Km",경유,흰색,890
2088,포드,익스플로러(5세대),3.5리미티드AWD ,2011 ,"147,993Km",휘발유,흰색,"1,190"
2089,르노삼성,SM3네오(2세대),가솔린1.6 RE,2010,"139,467Km",휘발유,흰색,320
2090,쉐보레/대우,토스카프리미엄6, ,2007,"68,172Km",휘발유,흰색,180
2091,르노삼성,뉴SM3(2세대),가솔린 1.6 RE,2012,"181,887Km",휘발유,흰색,270
2092,쉐보레/대우,올뉴말리부,가솔린1.5터보LTZ 기본형,2017,"71,084Km",휘발유,흰색,"1,640"
2093,푸조,308(1세대),1.6HDi MCP ,2010 ,"129,485Km",경유,흰색,359
2094,벤츠,B클래스,B200 ,2011 ,"179,045Km",휘발유,흰색,419
2095,현대,포터2,초장축슈퍼캡CRDi ,2009 ,"139,074Km",경유,흰색,479
2096,현대,YF쏘나타,Y20 프라임 고급형,2010 ,"144,141Km",휘발유,흰색,419
2097,현대,포터2,초장축더블캡CRDi 골드,2007 ,"192,317Km",경유,흰색,379
2098,기아,봉고3,1톤킹캡초장축CRDi ,2008 ,"146,983Km",경유,흰색,539
2099,미니,컨트리맨(2세대),쿠퍼D ALL4HIGH,2018,"101,143Km",경유,흰색,"2,370"
2100,BMW,X5(E70),xDrive30d ,2007,"241,246Km",경유,흰색,830
2101,기아,뉴쏘렌토R,디젤2.0 2WD 리미티드스페셜,2013,"106,098Km",경유,흰색,"1,560"
2102,현대,포터2,더블캡 4WD,2018,"24,257Km",경유,흰색,"1,690"
2103,벤츠,뉴C클래스,C200CGI ,2013,"63,989Km",휘발유,흰색,"1,390"
2104,현대,NF쏘나타,N20엘레강스스페셜 슈퍼형,2008,"164,731Km",휘발유,흰색,280
2105,기아,K5 2세대,2.0터보 SX 노블레스스페셜,2016,"96,819Km",휘발유,흰색,"1,430"
2106,기아,올뉴모닝,밴 고급형,2014,"122,698Km",휘발유,흰색,299
2107,기아,올뉴모닝(JA),1.0 LPI 디럭스,2017,"67,865Km",LPG,흰색,638
2108,기아,더뉴카니발,9인승 프레스티지,2019,"81,335Km",경유,흰색,"2,280"
2109,쉐보레/대우,올뉴말리부,가솔린1.5터보LTZ 프리미엄세이프티,2017 ,"86,596Km",휘발유,흰색,"1,470"
2110,기아,봉고3,1톤킹캡초장축CRDi 럭셔리,2016 ,"103,866Km",경유,흰색,"1,020"
2111,현대,포터2,내장탑차 슈퍼캡,2012 ,"141,697Km",경유,흰색,920
2112,쉐보레/대우,말리부,2.0LS ,2012,"116,971Km",휘발유,흰색,550
2113,현대,더뉴그랜드스타렉스,밴 3인승 스타일,2019,"113,402Km",경유,흰색,"1,630"
2114,쌍용,뉴코란도C,2.0 어드벤처 60th에디션 2WD ,2014,"177,383Km",경유,흰색,620
2115,기아,더뉴K9(1세대),3.3GDI 이그제큐티브 ,2015,"85,992Km",휘발유,흰색,"2,590"
2116,현대,더뉴맥스크루즈,2.2 2WD 익스클루시브,2016 ,"116,166Km",경유,흰색,"1,850"
2117,벤츠,C클래스(W205),C220d 4MATIC ,2016 ,"92,007Km",경유,흰색,"2,650"
2118,쉐보레/대우,스파크,L ,2012,"47,730Km",휘발유,흰색,140
2119,아우디,A5,2.0TFSI카브리올레 ,2010,"100,000Km",휘발유,흰색,"1,550"
2120,기아,K5 하이브리드,럭셔리 ,2012,"134,219Km",휘발유+전기,흰색,680
2121,기아,K5 하이브리드,프레스티지 ,2012,"250,000Km",휘발유+전기,흰색,540
2122,현대,포터2,초장축더블캡CRDi 스마트,2013,"213,620Km",경유,흰색,679
2123,기아,올뉴카니발,9인승 프레스티지,2018,"98,271Km",경유,흰색,"2,200"
2124,쉐보레/대우,트레일블레이저,1.2터보 LS,2021,"14,309Km",휘발유,흰색,"1,920"
2125,아우디,뉴A6,35TDI콰트로 C7,2015,"169,841Km",경유,흰색,"1,450"
2126,현대,포터2,초장축일반캡CRDi ,2018 ,"166,044Km",경유,흰색,"1,170"
2127,현대,포터2,초장축슈퍼캡 터보인터쿨러,2008,"113,075Km",경유,흰색,550
2128,기아,봉고3,1.2톤윙바디 ,2012,"245,923Km",경유,흰색,520
2129,기아,봉고3,1톤더블캡초장축CRDi GLX,2011,"75,212Km",경유,흰색,750
2130,현대,포터2,하이내장탑 ,2014,"218,792Km",경유,흰색,670
2131,쌍용,액티언,2WD CX5 최고급형,2006,"138,082Km",경유,흰색,210
2132,쌍용,티볼리,디젤 2WD VX,2016 ,"75,408Km",경유,흰색,"1,090"
2133,쉐보레/대우,크루즈5,1.8LTZ+퍼펙트블랙 ,2014,"86,267Km",휘발유,흰색,620
2134,기아,더뉴카니발,11인승 디럭스,2019,"31,002Km",경유,흰색,"1,990"
2135,현대,아반떼AD,1.6GDi 스마트 스페셜,2017,"64,278Km",휘발유,흰색,"1,320"
2136,현대,그랜드스타렉스,3인승밴 스마트,2014,"232,551Km",경유,흰색,830
2137,기아,카니발R,그랜드카니발GLX ,2011,"185,039Km",경유,흰색,480
2138,현대,아반떼AD,1.6GDi 밸류플러스 ,2018,"60,902Km",휘발유,흰색,"1,299"
2139,기아,스포티지R,가솔린터보GDI4WD TLX 최고급형,2012,"105,401Km",휘발유,흰색,990
2140,아우디,뉴A6,35TDI프리미엄 C7,2016,"116,973Km",경유,흰색,"2,150"
2141,기아,모하비,4WD KV300 ,2015,"255,105Km",경유,흰색,"1,370"
2142,현대,i30(GD),디젤1.6VGT PYL ,2016,"119,239Km",경유,흰색,689
2143,기아,스포티지더볼드,디젤2.0 2WD 인텔리전트,2018,"66,212Km",경유,흰색,"2,220"
2144,BMW,5시리즈(F10),520d xDrive 럭셔리,2015,"136,813Km",경유,흰색,"2,050"
2145,기아,카니발(4세대),디젤 9인승 시그니처 ,2021,"12,494Km",경유,흰색,"4,370"
2146,기아,스포티지4세대(QL),디젤2.0 2WD 프레스티지,2018,"142,271Km",경유,흰색,"1,310"
2147,재규어,XF(1세대),2.2디젤 럭셔리,2012,"152,312Km",경유,흰색,950
2148,폭스바겐,파사트(B5),4.0W84MOTION ,2016,"50,655Km",휘발유,흰색,"1,500"
2149,BMW,5시리즈(G30),520d xDrive M스포츠플러스,2017,"27,885Km",경유,흰색,"4,619"
2150,BMW,5시리즈(F10),520d xDrive M에어로다이내믹프로에디션,2016,"74,567Km",경유,흰색,"3,099"
2151,폭스바겐,티구안(1세대),2.0TDI블루모션 프리미엄,2014,"83,489Km",경유,흰색,"1,590"
2152,대형트럭(2톤이상),마이티,e-마이티 2.5톤 냉동탑,2014,"553,842Km",경유,흰색,"2,550"
2153,현대,포터2,윙바디 ,2009,"258,000Km",경유,흰색,550
2154,대형트럭(2톤이상),마이티,e-마이티 3.5톤 카고 슈퍼캡,2008,"132,000Km",경유,흰색,"1,520"
2155,대형트럭(2톤이상),마이티,마이티큐티 2톤,2012,"225,000Km",경유,흰색,"1,390"
2156,기아,봉고3,1.2톤윙바디 ,2018,"255,000Km",경유,흰색,"1,130"
2157,대형트럭(2톤이상),마이티,e-마이티 내장탑차,2008,"237,000Km",경유,흰색,"1,160"
2158,기아,올뉴모닝(JA),럭셔리 ,2017 ,"73,544Km",휘발유,흰색,770
2159,폭스바겐,뉴CC,2.0TDI블루모션 R-Line,2015,"87,190Km",경유,흰색,"1,420"
2160,폭스바겐,폴로(5세대),1.6TDI R-Line,2014,"192,864Km",경유,흰색,550
2161,기아,뉴오피러스,GH270스페셜 기본형,2008,"74,386Km",휘발유,흰색,480
2162,벤츠,뉴C클래스,C200K 아방가르드W204,2010,"117,338Km",휘발유,흰색,830
2163,쉐보레/대우,올뉴마티즈,SX ,2008,"129,000Km",휘발유,흰색,150
2164,현대,포터2,초장축더블캡CRDi 모던,2020,"13,246Km",경유,흰색,"1,990"
2165,현대,포터2,내장탑차 슈퍼캡,2017 ,"79,669Km",경유,흰색,"1,250"
2166,현대,아반떼MD,M16GDi 탑 ,2012,"72,000Km",휘발유,흰색,870
2167,현대,아반떼MD,M16GDi 탑 ,2012,"90,263Km",휘발유,흰색,610
2168,기아,K5 하이브리드,프레스티지 ,2012,"107,130Km",휘발유+전기,흰색,890
2169,현대,포터2,초장축더블캡CRDi 스마트,2017,"62,601Km",경유,흰색,"1,330"
2170,기아,봉고3,1톤킹캡냉동탑차CRDi SDX ,2014,"181,779Km",경유,흰색,"1,250"
2171,기아,뉴모닝,LX 블랙프리미엄,2011,"80,092Km",휘발유,흰색,330
2172,쉐보레/대우,크루즈,디젤2.0LTZ+ ,2013 ,"165,800Km",경유,흰색,439
2173,벤츠,뉴CLS클래스,CLS350 W218,2012,"240,000Km",휘발유,흰색,"1,550"
2174,기아,더뉴레이,1.0 LPI 프레스티지,2018,"42,000Km",LPG,흰색,"1,590"
2175,기아,올뉴카니발,7인승 리무진 프레지던트,2018,"19,720Km",경유,흰색,"3,150"
2176,르노삼성,QM6,가솔린2WD RE시그니처,2019,"46,135Km",휘발유,흰색,"2,290"
2177,기아,올뉴모닝(JA),1.0 LPI 럭셔리,2020,"42,374Km",LPG,흰색,"1,150"
2178,현대,i40살룬,1.7 VGT 모던,2012,"186,410Km",경유,흰색,590
2179,르노삼성,QM6,디젤2WD RE플러스,2017,"104,300Km",경유,흰색,"1,609"
2180,현대,아반떼AD,1.6GDi 밸류플러스 ,2018,"95,452Km",휘발유,흰색,"1,270"
2181,기아,봉고3,스낵카 ,2018,"22,547Km",경유,흰색,"1,850"
2182,현대,포터2,내장탑차 슈퍼캡,2016,"192,833Km",경유,흰색,"1,370"
2183,볼보,V40,D2 ,2015,"119,517Km",경유,흰색,"1,030"
2184,기아,올뉴모닝,바이퓨얼 디럭스 스페셜,2011,"197,231Km",LPG,흰색,350
2185,기아,프라이드(신형),디젤4DR1.5VGT SLX,2009,"184,216Km",경유,흰색,250
2186,재규어,XJL(X351),3.0디젤 프리미엄럭셔리,2015,"172,219Km",경유,흰색,"2,790"
