,제조사,모델명,옵션명,연식,주행거리,연료,색상,가격
154,기아,더뉴K9(1세대),3.8GDI 이그제큐티브 ,2015,"149,212Km",휘발유,검정,"1,650"
155,쌍용,뉴체어맨W,CW600 4트로닉 프레스티지,2013,"60,000Km",휘발유,검정,"1,400"
156,현대,그랜저HG 하이브리드,프리미엄 ,2017,"88,544Km",휘발유+전기,검정,"1,820"
157,현대,그랜저IG,3.0가솔린 익스클루시브,2018,"67,052Km",휘발유,검정,"2,190"
158,현대,그랜저HG,가솔린 HG300 프리미엄,2016,"37,160Km",휘발유,검정,"1,710"
159,BMW,X5(F15),xDrive30d 기본형,2017,"77,668Km",경유,검정,"4,900"
160,현대,올뉴투싼(TL),디젤2.0 2WD 스마트,2018,"77,000Km",경유,검정,"1,599"
161,아우디,뉴A6,35TDI ,2018 ,"110,970Km",경유,검정,"2,720"
162,기아,올뉴K7,2.2디젤 프레스티지,2017,"56,652Km",경유,검정,"2,090"
163,기아,올뉴K7,3.0LPI 디럭스,2017,"84,314Km",LPG,검정,"1,620"
164,쌍용,코란도투리스모,9인승 4WD RT,2014,"104,277Km",경유,검정,"1,060"
165,현대,더뉴그랜드스타렉스,밴 5인승 스마트,2020,"59,137Km",경유,검정,"2,130"
166,기아,더뉴카니발,9인승 럭셔리,2019,"54,862Km",경유,검정,"2,390"
167,기아,K5,LPI디럭스 ,2012,"148,441Km",LPG,검정,560
168,기아,더뉴K7,3.0GDI 프레스티지,2013,"102,186Km",휘발유,검정,"1,160"
169,르노삼성,SM3네오(2세대),가솔린1.6 LE,2016,"62,888Km",휘발유,검정,460
170,아우디,A7,3.0 TDI 콰트로 엔트리,2012,"149,056Km",경유,검정,"1,940"
171,기아,모하비,4WD KV300 최고급형,2014,"103,215Km",경유,검정,"2,020"
172,르노삼성,QM6,디젤2WD RE,2017,"67,369Km",경유,검정,"1,829"
173,기아,스포티지4세대(QL),디젤1.7 2WD 노블레스스페셜,2016,"72,170Km",경유,검정,"1,760"
174,기아,올뉴카니발,9인승 하이리무진 프레스티지,2016,"113,433Km",경유,검정,"2,530"
175,벤츠,스프린터,밴 밀레니엄컨버전밴 2500L,2015,"59,324Km",경유,검정,"6,600"
176,벤츠,뉴CLS클래스,CLS400 W218,2015,"97,386Km",휘발유,검정,"3,700"
