,brand,name,info,type,km,year,accident,color,location,price,wd
12434,현대,에쿠스,VS380,가솔린,158947,2010,무사고,검정색,충북,990,2WD
12439,현대,제네시스,G330 프리미엄 AWD,가솔린,60319,2016,무사고,검정색,인천,3050,AWD
12440,현대,그랜저,HG300 노블,가솔린,94140,2011,무사고,검정색,전북,1099,2WD
12441,현대,쏘나타,LPI 모던,LPG(일반인 구입),97112,2019,무사고,검정색,광주,1390,2WD
12442,현대,그랜저,2.4 프리미엄,가솔린,63172,2017,무사고,검정색,울산,2180,2WD
12444,현대,팰리세이드,가솔린 3.8 2WD,가솔린,13559,2019,무사고,검정색,서울,3590,2WD
12445,현대,그랜저,2.2 디젤 모던,디젤,48786,2018,무사고,검정색,경기,2350,2WD
12448,현대,벨로스터,2.0 N,가솔린,51119,2019,무사고,검정색,인천,2430,2WD
12451,현대,그랜저,3.0 익스클루시브,가솔린,9692,2018,무사고,검정색,서울,2900,2WD
12456,현대,그랜저,2.4 모던,가솔린,81690,2018,무사고,검정색,경기,1950,2WD
12466,현대,아반떼,1.6 터보 스포츠,가솔린,113518,2017,무사고,검정색,경기,1280,2WD
12477,현대,제네시스,BH330 그랜드,가솔린,176664,2009,무사고,검정색,전북,550,2WD
12482,현대,그랜저,LPI Q270 장애인용,LPG(일반인 구입),92745,2009,무사고,검정색,서울,590,2WD
12490,현대,코나,디젤 1.6 2WD,디젤,110281,2018,무사고,검정색,충남,1420,2WD
12492,현대,쏘나타,LPI 스마트,LPG(일반인 구입),191795,2014,무사고,검정색,부산,650,2WD
12494,현대,스타렉스,리무진,디젤,22782,2018,무사고,검정색,부산,2830,2WD
12496,현대,그랜저,2.4 프리미엄,가솔린,101262,2017,무사고,검정색,서울,1730,2WD
12498,현대,제네시스,BH330 그랜드,가솔린,144252,2011,무사고,검정색,광주,890,2WD
12503,현대,그랜저,프리미엄,가솔린+전기,42154,2017,무사고,검정색,울산,1960,2WD
12510,현대,쏘나타,2.0,가솔린+전기,166121,2012,무사고,검정색,대구,599,2WD
12514,현대,그랜저,HG300 프라임,가솔린,99688,2011,무사고,검정색,인천,880,2WD
12515,현대,쏘나타,LPI 디럭스,LPG(일반인 구입),180136,2010,무사고,검정색,부산,430,2WD
12516,현대,쏘나타,1.7 디젤 모던,디젤,34741,2019,무사고,검정색,경기,2050,2WD
12518,현대,아반떼,1.6 GDI 모던,가솔린,57984,2017,무사고,검정색,부산,1450,2WD
12519,현대,에쿠스,VS380,가솔린,130589,2014,무사고,검정색,경기,2300,2WD
12521,현대,에쿠스,VS380,가솔린,173261,2015,무사고,검정색,경기,1645,2WD
12524,현대,크루즈,디젤 4WD 300VXL,디젤,352955,2014,무사고,검정색,대구,1050,4WD
12530,현대,쏘나타,LPI 탑,LPG(일반인 구입),265380,2010,무사고,검정색,전북,360,2WD
12534,현대,쏘나타,1.7 디젤 스마트,디젤,80149,2016,무사고,검정색,경기,1450,2WD
12536,현대,에쿠스,VS380,가솔린,195707,2012,무사고,검정색,경기,890,2WD
12537,현대,그랜저,LPG HG300 모던,LPG(일반인 구입),234356,2016,무사고,검정색,경기,860,2WD
12538,현대,제네시스,G380 파이니스트 에디션,가솔린,204969,2015,무사고,검정색,대구,1930,2WD
