,brand,name,info,type,km,year,accident,color,location,price,wd
6262,아우디,Q5,2.0 TDI 콰트로 다이나믹,디젤,135775,2012,무사고,흰색,경기,1499,4WD
6263,아우디,뉴 A3,35 TDI 다이나믹 스포트백,디젤,74563,2015,무사고,흰색,경기,1649,2WD
6274,아우디,Q5,35 TDI 콰트로,디젤,121531,2015,무사고,흰색,경기,2230,4WD
6280,아우디,A6,45 TDI 콰트로,디젤,67353,2015,무사고,흰색,경기,2360,4WD
6286,아우디,A6,45 TFSI 콰트로 프리미엄,가솔린,12899,2021,무사고,흰색,경기,5780,4WD
6299,아우디,A4,2.0 TFSI,가솔린,123432,2011,무사고,흰색,경기,720,2WD
6302,아우디,S5,4.2 FSI 콰트로,가솔린,53984,2015,무사고,흰색,경기,3950,4WD
6304,아우디,A7,40 TDI,디젤,71301,2016,무사고,흰색,경기,3530,2WD
6321,아우디,S7,4.0 TFSI 콰트로,가솔린,126471,2016,무사고,흰색,경기,5250,4WD
6323,아우디,Q5,45 TDI 콰트로 다이나믹,디젤,95488,2015,무사고,흰색,경기,2470,4WD
6336,아우디,A6,2.0 TFSI 다이나믹 스포츠,가솔린,140861,2011,무사고,흰색,경기,690,2WD
6346,아우디,Q7,45 TFSI 콰트로,가솔린,24629,2019,무사고,흰색,경기,5580,4WD
6351,아우디,Q5,45 TFSI 콰트로 프리미엄,가솔린,17120,2020,무사고,흰색,서울,5235,4WD
6363,아우디,A5,2.0 TFSI 콰트로,가솔린,148992,2013,무사고,흰색,경기,1350,4WD
6386,아우디,A4,45 TFSI 프리미엄,가솔린,145550,2016,무사고,흰색,경기,1799,2WD
6389,아우디,A4,2.0 TFSI 콰트로,가솔린,89506,2011,무사고,흰색,경기,950,4WD
6392,아우디,A7,50 TDI 콰트로,디젤,76643,2016,무사고,흰색,경기,3880,4WD
6403,아우디,A6,35 TDI 프리미엄,디젤,152835,2016,무사고,흰색,울산,1990,2WD
6408,아우디,Q7,45 TDI 콰트로,디젤+전기,25983,2020,무사고,흰색,경기,7500,4WD
6418,아우디,Q3,35 TDI 프리미엄 스포트백,디젤,18911,2020,무사고,흰색,대구,4590,2WD
6434,아우디,A6,35 TDI 콰트로 프리미엄,디젤,158500,2016,무사고,흰색,서울,2030,4WD
6437,아우디,A6,40 TDI 콰트로 프리미엄,디젤,114092,2016,무사고,흰색,경기,2650,4WD
6453,아우디,A6,35 TDI,디젤,33200,2016,무사고,흰색,경기,2550,2WD
6459,아우디,A6,3.0 TFSI 콰트로,가솔린,106076,2010,무사고,흰색,경기,620,4WD
6471,아우디,TT,쿠페 2.0 TFSI,가솔린,130558,2009,무사고,흰색,서울,1240,2WD
6480,아우디,Q7,35 TDI 콰트로 프리미엄 Tech,디젤,90040,2016,무사고,흰색,경기,4500,4WD
6481,아우디,TT,쿠페 2.0 TFSI 콰트로,가솔린,116450,2012,무사고,흰색,경기,1620,4WD
6489,아우디,A4,40 TFSI 콰트로 다이나믹,가솔린,30870,2015,무사고,흰색,경기,2050,4WD
6490,아우디,A5,2.0 TFSI 콰트로,가솔린,115599,2010,무사고,흰색,부산,770,4WD
6493,아우디,A6,45 TFSI 프리미엄,가솔린,4396,2021,무사고,흰색,부산,5600,2WD
6494,아우디,A6,35 TDI,디젤,78565,2018,무사고,흰색,부산,2780,2WD
6505,아우디,A5,2.0 TDI 콰트로 다이나믹 스포츠백,디젤,173248,2013,무사고,흰색,경기,2170,4WD
6530,아우디,A6,35 TDI,디젤,36864,2016,무사고,흰색,경기,2899,2WD
6544,아우디,A5,35 TDI 콰트로 다이나믹 스포츠백,디젤,74647,2015,무사고,흰색,경기,2300,4WD
6548,아우디,A6,40 TFSI 프리미엄,가솔린,34369,2018,무사고,흰색,경기,3730,2WD
6562,아우디,A8,60 TFSI 콰트로 LWB,가솔린,82277,2015,무사고,흰색,부산,5300,4WD
6563,아우디,Q7,45 TDI 콰트로 프리미엄,디젤,26016,2020,무사고,흰색,부산,7499,4WD
6575,아우디,Q5,3.2 FSI 콰트로,가솔린,92275,2010,무사고,흰색,경기,1590,4WD
6577,아우디,A6,3.0 TFSI 콰트로,가솔린,95254,2011,무사고,흰색,경기,940,4WD
6591,아우디,A6,3.0 TDI 콰트로,디젤,157034,2012,무사고,흰색,경기,1270,4WD
6602,아우디,Q3,35 TDI 콰트로 다이나믹,디젤,79010,2015,무사고,흰색,경기,1950,4WD
6653,아우디,A6,3.0 TDI 콰트로,디젤,120185,2014,무사고,흰색,경기,1520,4WD
6669,아우디,A7,50 TDI 콰트로 프리미엄,디젤,77610,2016,무사고,흰색,경기,3690,4WD
6694,아우디,A4,35 TDI 프리미엄,디젤,39052,2018,무사고,흰색,전북,2860,2WD
6697,아우디,S6,4.0 TFSI 콰트로,가솔린,103181,2013,무사고,흰색,경기,7777,4WD
6706,아우디,A6,40 TDI 콰트로 스포츠,디젤,65205,2016,무사고,흰색,경기,2950,4WD
6727,아우디,A4,2.0 TDI 콰트로 다이나믹,디젤,121454,2014,무사고,흰색,부산,1250,4WD
6746,아우디,A5,35 TDI 콰트로 스포츠백,디젤,93741,2016,무사고,흰색,부산,1980,4WD
6753,아우디,Q5,35 TDI 콰트로 다이나믹,디젤,96921,2015,무사고,흰색,경기,2540,4WD
