,brand,name,info,type,km,year,accident,color,location,price,wd
37703,기아,쏘렌토,디젤 2.0 2WD노블레스,디젤,48800,2016,무사고,회색,서울,2290,2WD
37704,기아,카니발,그랜드 카니발 GLX최고급형,디젤,71786,2014,무사고,기타,서울,940,2WD
37714,기아,쏘렌토,가솔린 2.0 터보 2WD마스터 스페셜,가솔린,12785,2020,무사고,회색,인천,3190,2WD
37715,기아,셀토스,가솔린 터보 1.6 2WD노블레스,가솔린,19818,2020,무사고,기타,인천,2500,2WD
37716,기아,K7,가솔린 2.5노블레스,가솔린,21638,2020,무사고,기타,인천,2990,2WD
37717,기아,레이,럭셔리,가솔린,7390,2018,무사고,회색,인천,1300,2WD
37719,기아,레이,프레스티지,가솔린,9208,2021,무사고,기타,인천,1370,2WD
37722,기아,K5,가솔린 2.0노블레스,가솔린,13768,2020,무사고,검정색,전남,2730,2WD
37723,기아,K5,2.0 MX노블레스,가솔린,51878,2018,무사고,회색,인천,1820,2WD
37726,기아,K5,2.0인텔리전트,가솔린,32485,2019,무사고,회색,인천,2310,2WD
37728,기아,K5,2.0인텔리전트,가솔린,41711,2019,무사고,검정색,서울,2210,2WD
37732,기아,모닝,LX기본형 블랙프리미엄,가솔린,78745,2011,단순교환,흰색,인천,340,2WD
37739,기아,K7,2.4 GDI 스페셜,가솔린,130307,2017,무사고,검정색,인천,1930,2WD
37740,기아,K3,프레스티지,가솔린,17319,2019,무사고,검정색,충남,1890,2WD
37747,기아,카니발,9인승 노블레스 스페셜,디젤,69319,2019,무사고,검정색,경북,3090,2WD
37754,기아,K3,프레스티지,가솔린,48221,2019,무사고,흰색,인천,1730,2WD
37761,기아,모닝,SLX고급형 블랙프리미엄,가솔린,96267,2011,단순사고(접촉),회색,경북,330,2WD
37765,기아,카니발,9인승 프레스티지,디젤,81539,2018,단순교환,회색,충남,2090,2WD
37771,기아,K5,2.0노블레스,가솔린,39010,2019,무사고,검정색,인천,1950,2WD
37773,기아,K7,프레스티지,가솔린+전기,92389,2018,단순교환,검정색,인천,2140,2WD
37782,기아,스팅어,3.3 터보 AWDGT,가솔린,19565,2019,무사고,기타,경남,3690,AWD
37783,기아,카니발,11인승 프레스티지,디젤,45241,2019,무사고,회색,서울,2360,2WD
37784,기아,K7,2.4 GDI 프레스티지,가솔린,87525,2016,단순사고(접촉),흰색,경북,1520,2WD
37785,기아,K7,노블레스,가솔린+전기,85792,2018,무사고,검정색,인천,2490,2WD
37787,기아,K5,2.0프레스티지,가솔린,19259,2019,무사고,회색,인천,1860,2WD
37790,기아,K7,가솔린 2.5프레스티지,가솔린,10559,2020,무사고,흰색,충남,2850,2WD
37792,기아,카니발,9인승 하이리무진노블레스 스페셜,디젤,38923,2019,무사고,검정색,충북,4060,2WD
37793,기아,스포티지,디젤 2.0 2WD프레스티지,디젤,34033,2019,무사고,흰색,서울,2240,2WD
37794,기아,K7,2.4 GDI 프레스티지 스페셜,가솔린,96292,2013,단순사고(접촉),흰색,경남,1110,2WD
37796,기아,K5,2.0노블레스,가솔린,54688,2020,단순교환,회색,인천,2080,2WD
