brand,name,type,km,year,accident,color,location,price,wd,trim
기아,K5,가솔린,84769,2012,무사고,검정색,서울,860,2WD,2
기아,K5,가솔린,66816,2011,무사고,검정색,경기,750,2WD,1
기아,K5,가솔린,11398,2020,무사고,검정색,경기,2829,2WD,1
기아,K5,가솔린,98861,2018,무사고,검정색,경기,1650,2WD,1
기아,K5,가솔린,62845,2018,무사고,검정색,경기,1550,2WD,1
기아,K5,가솔린,66261,2019,무사고,검정색,경기,1899,2WD,1
기아,K5,LPG,87332,2013,무사고,검정색,울산,880,2WD,2
기아,K5,LPG,157755,2014,무사고,검정색,울산,690,2WD,1
기아,K5,가솔린,144188,2011,무사고,검정색,대전,599,2WD,1
기아,K5,가솔린,18523,2020,무사고,검정색,경기,3170,2WD,1
기아,K5,디젤,105262,2016,무사고,검정색,경기,1370,2WD,1
기아,K5,가솔린,42926,2017,무사고,검정색,경기,1380,2WD,1
기아,K5,가솔린,47828,2018,무사고,검정색,부산,1420,2WD,1
기아,K5,디젤,63063,2016,무사고,검정색,경기,1420,2WD,1
기아,K5,가솔린,114020,2018,무사고,검정색,경기,1290,2WD,1
기아,K5,디젤,133733,2018,무사고,검정색,경기,1340,2WD,1
기아,K5,가솔린,133238,2018,무사고,검정색,경기,1260,2WD,1
기아,K5,가솔린,163944,2014,무사고,검정색,경기,790,2WD,1
기아,K5,가솔린,14714,2020,무사고,검정색,경기,2670,2WD,1
기아,K5,LPG,30408,2020,무사고,흰색,대구,1820,2WD,1
기아,K5,가솔린,50624,2019,무사고,흰색,충남,1790,2WD,1
기아,K5,LPG,18151,2020,무사고,흰색,광주,2550,2WD,1
기아,K5,가솔린,183665,2012,무사고,흰색,대구,625,2WD,1
기아,K5,하이브리드,53912,2017,무사고,흰색,부산,1950,2WD,3
기아,K5,가솔린,20836,2020,무사고,흰색,경기,3150,2WD,1
기아,K5,가솔린,29723,2016,무사고,흰색,대구,1870,2WD,1
기아,K5,가솔린,34012,2018,무사고,흰색,대구,1790,2WD,1
기아,K5,가솔린,75062,2016,무사고,흰색,서울,1320,2WD,1
기아,K5,가솔린,72512,2016,무사고,흰색,경기,1650,2WD,1
기아,K5,하이브리드,95230,2014,무사고,흰색,부산,1170,2WD,1
기아,K5,LPG,20839,2017,무사고,흰색,대구,1499,2WD,1
기아,K5,가솔린,3352,2021,무사고,흰색,경기,2790,2WD,1
기아,K5,LPG,12126,2020,무사고,흰색,경기,2890,2WD,1
기아,K5,가솔린,98614,2018,무사고,흰색,인천,1300,2WD,1
기아,K5,가솔린,103782,2011,무사고,흰색,광주,630,2WD,1
기아,K5,가솔린,85719,2015,무사고,흰색,충남,1220,2WD,1
기아,K5,LPG,206041,2013,무사고,흰색,인천,440,2WD,1
기아,K5,가솔린,89393,2015,무사고,흰색,경기,1340,2WD,2
기아,K5,디젤,77426,2016,무사고,흰색,대구,1580,2WD,1
기아,K5,LPG,35640,2017,무사고,흰색,서울,1410,2WD,1
기아,K5,가솔린,118221,2013,무사고,흰색,경기,750,2WD,1
기아,K5,가솔린,16118,2018,무사고,흰색,경기,1810,2WD,1
기아,K5,하이브리드,149661,2015,무사고,흰색,전북,999,2WD,2
기아,K5,가솔린,96291,2011,무사고,흰색,대구,749,2WD,1
기아,K5,가솔린,162352,2011,무사고,흰색,경기,650,2WD,1
기아,K5,LPG,103282,2013,무사고,흰색,충남,899,2WD,2
기아,K5,LPG,132717,2013,무사고,흰색,대구,850,2WD,2
기아,K5,가솔린,32510,2014,무사고,흰색,경기,1330,2WD,2
기아,K5,LPG,109296,2015,무사고,흰색,충남,899,2WD,1
기아,K5,하이브리드,150715,2015,무사고,흰색,경기,920,2WD,2
기아,K5,가솔린,21598,2020,무사고,흰색,서울,2640,2WD,1
기아,K5,가솔린,80133,2014,무사고,흰색,서울,1199,2WD,1
기아,K5,LPG,101695,2018,무사고,흰색,경기,1140,2WD,1
기아,K5,가솔린,3779,2020,무사고,흰색,서울,3350,2WD,1
기아,K5,가솔린,59206,2019,무사고,흰색,서울,2050,2WD,1
기아,K5,가솔린,51551,2016,무사고,흰색,대구,1560,2WD,1
기아,K5,LPG,90737,2013,무사고,흰색,충남,670,2WD,1
기아,K5,LPG,149016,2013,무사고,흰색,경기,600,2WD,2
