,brand,name,info,type,km,year,accident,color,location,price,wd
1147,벤츠,LS,CLS250 d 4MATIC,디젤,93810,2016,무사고,검정색,경기,3050,4WD
1152,벤츠,S-클래스,S350 d 4MATIC,디젤,260939,2016,무사고,검정색,서울,4250,4WD
1153,벤츠,S-클래스,S350 d,디젤,116762,2018,무사고,검정색,경기,7790,2WD
1158,벤츠,S-클래스,S350 d 4MATIC,디젤,190825,2018,무사고,검정색,경기,6350,4WD
1165,벤츠,S-클래스,S350 d 4MATIC,디젤,64166,2016,무사고,검정색,경기,7300,4WD
1167,벤츠,A-클래스 W176,A200,가솔린,59905,2017,무사고,검정색,경기,1899,2WD
1168,벤츠,S-클래스,S350 블루텍,디젤,222089,2013,무사고,검정색,경기,2090,2WD
1169,벤츠,S-클래스,S350 블루텍,디젤,101838,2015,무사고,검정색,서울,5550,2WD
1171,벤츠,S-클래스,S400L 하이브리드,가솔린+전기,140704,2010,무사고,검정색,광주,2990,2WD
1181,벤츠,C-클래스,C200,가솔린,72097,2017,무사고,검정색,경기,2849,2WD
1185,벤츠,LS,CLS400,가솔린,97374,2015,무사고,검정색,인천,3550,2WD
1188,벤츠,S-클래스,S350 d,디젤,24678,2019,무사고,검정색,경기,9500,2WD
1189,벤츠,S-클래스,마이바흐 S560 4MATIC,가솔린,88723,2018,무사고,검정색,서울,13650,4WD
1191,벤츠,LS,CLS250 CDI,디젤,88286,2014,무사고,검정색,충북,2750,2WD
1197,벤츠,S-클래스,S550V,가솔린,184208,2007,무사고,검정색,경기,1290,2WD
1198,벤츠,E-클래스,AMG GLE63 S 4MATIC 쿠페,가솔린,105541,2017,무사고,검정색,경기,6580,4WD
1200,벤츠,E-클래스,E300 아방가르드,가솔린,36994,2018,무사고,검정색,인천,4790,2WD
1201,벤츠,스프린터,3.0 디젤,디젤,34667,2014,무사고,검정색,경기,6390,2WD
1204,벤츠,S-클래스,S350L 블루텍,디젤,124716,2015,무사고,검정색,서울,5270,2WD
1208,벤츠,C-클래스,GLC300 4MATIC 쿠페,가솔린,7515,2019,무사고,검정색,경기,5950,4WD
1210,벤츠,S-클래스,S500L,가솔린,187550,2015,무사고,검정색,인천,4350,2WD
1212,벤츠,E-클래스,E350 카브리올레,가솔린,71613,2014,무사고,검정색,경기,3190,2WD
1214,벤츠,E-클래스,E220d 아방가르드,디젤,109545,2017,무사고,검정색,경기,3330,2WD
1217,벤츠,E-클래스,E220d 아방가르드,디젤,152849,2017,무사고,검정색,경기,3200,2WD
1221,벤츠,S-클래스,S560L 4MATIC,가솔린,16094,2020,무사고,검정색,대구,15900,4WD
1222,벤츠,S-클래스,S500L 4MATIC 데지뇨 에디션,가솔린,67640,2013,무사고,검정색,대구,4690,4WD
1225,벤츠,S-클래스,S320 CDI,디젤,170644,2009,무사고,검정색,대구,1390,2WD
1228,벤츠,C-클래스,C200 아방가르드,가솔린,28562,2018,무사고,검정색,광주,3470,2WD
1234,벤츠,S-클래스,S350L,가솔린,64020,2020,무사고,검정색,경기,9999,2WD
1236,벤츠,S-클래스,S350 블루텍 4MATIC,디젤,120947,2015,무사고,검정색,서울,5090,4WD
1239,벤츠,S-클래스,S350 블루텍,디젤,188466,2013,무사고,검정색,경기,2390,2WD
1242,벤츠,S-클래스,S500L 4MATIC,가솔린,118959,2016,무사고,검정색,광주,6150,4WD
1243,벤츠,S-클래스,S400L,가솔린,97279,2015,무사고,검정색,광주,6400,2WD
1247,벤츠,E-클래스,E220d 아방가르드,디젤,24999,2020,무사고,검정색,경기,5499,2WD
1251,벤츠,57,CLS400d 4MATIC AMG Line,디젤,6621,2019,무사고,검정색,경기,8200,4WD
1256,벤츠,S-클래스,S320 CDI,디젤,276640,2008,무사고,검정색,경기,1120,2WD
1260,벤츠,S-클래스,마이바흐 S500 4MATIC,가솔린,156412,2016,무사고,검정색,전북,7690,4WD
1262,벤츠,CLA-클래스,CLA200 d 4MATIC,디젤,84011,2016,무사고,검정색,경기,2290,4WD
1268,벤츠,S-클래스,S350L d 4MATIC,디젤,135721,2016,무사고,검정색,경기,5850,4WD
1270,벤츠,S-클래스,S350,가솔린,302402,2006,무사고,검정색,충북,750,2WD
1274,벤츠,E-클래스,E300e 4MATIC 익스클루시브,가솔린+전기,6691,2020,무사고,검정색,경기,6800,4WD
1280,벤츠,E-클래스,E300 엘레강스,가솔린,96710,2012,무사고,검정색,전북,1300,2WD
1282,벤츠,E-클래스,E250 블루텍 4MATIC 아방가르드,디젤,76936,2016,무사고,검정색,서울,2890,4WD
1283,벤츠,S-클래스,S350 d 4MATIC AMG Line,디젤,5560,2020,무사고,검정색,경기,10485,4WD
1286,벤츠,S-클래스,S350 블루텍,디젤,132083,2015,무사고,검정색,충북,5650,2WD
1290,벤츠,E-클래스,E220d 아방가르드,디젤,124029,2017,무사고,검정색,경기,3370,2WD
1292,벤츠,S-클래스,S600L,가솔린,227751,2008,무사고,검정색,경기,1150,2WD
1294,벤츠,S-클래스,S400 d 4MATIC,디젤,13151,2021,무사고,검정색,대전,15863,4WD
1296,벤츠,E-클래스,E300 4MATIC 아방가르드,가솔린,15501,2019,무사고,검정색,경기,5950,4WD
1298,벤츠,E-클래스,E220d 4MATIC AMG Line,디젤,26608,2021,무사고,검정색,서울,6690,4WD
1299,벤츠,S-클래스,S500L 4MATIC,가솔린,168315,2010,무사고,검정색,서울,1950,4WD
1304,벤츠,S-클래스,S350 d 4MATIC,디젤,30160,2018,무사고,검정색,경기,9390,4WD
1309,벤츠,GT,4.0,가솔린,53496,2016,무사고,검정색,경기,9850,2WD
1312,벤츠,CLA-클래스,CLA45 AMG 4MATIC,가솔린,49677,2017,무사고,검정색,서울,4230,4WD
1314,벤츠,E-클래스,GLE350 d 4MATIC 쿠페,디젤,199908,2018,무사고,검정색,전북,4900,4WD
1315,벤츠,A-클래스 W177,A220 세단,가솔린,20035,2020,무사고,검정색,서울,3440,2WD
1321,벤츠,S-클래스,S400L d,디젤,76105,2018,무사고,검정색,경기,8950,2WD
1323,벤츠,E-클래스,GLE350 d 4MATIC 쿠페,디젤,55512,2017,무사고,검정색,광주,6350,4WD
1326,벤츠,SLK-클래스,200 블루이피션시,가솔린,55358,2015,무사고,검정색,경기,2799,2WD
1329,벤츠,LS,GLS350 d 4MATIC,디젤,84428,2017,무사고,검정색,경기,6600,4WD
1346,벤츠,S-클래스,S400L d 4MATIC,디젤,90465,2018,무사고,검정색,경기,8700,4WD
1352,벤츠,E-클래스,GLE350 d 4MATIC 프리미엄,디젤,96342,2018,무사고,검정색,경기,5499,4WD
1354,벤츠,S-클래스,S350L d 4MATIC,디젤,80959,2016,무사고,검정색,경기,6750,4WD
1356,벤츠,S-클래스,S350L 블루텍,디젤,61076,2015,무사고,검정색,대구,6990,2WD
1357,벤츠,S-클래스,마이바흐 S560 4MATIC,가솔린,42738,2018,무사고,검정색,경기,16200,4WD
1362,벤츠,S-클래스,S500L 4MATIC,가솔린,176369,2015,무사고,검정색,서울,4490,4WD
1364,벤츠,S-클래스,S400L 4MATIC,가솔린,96834,2015,무사고,검정색,경기,6190,4WD
1365,벤츠,LS,CLS250 d 4MATIC,디젤,100134,2016,무사고,검정색,경기,3350,4WD
1366,벤츠,S-클래스,S350L 블루텍,디젤,104280,2014,무사고,검정색,경기,5490,2WD
1370,벤츠,S-클래스,S350L d 4MATIC,디젤,46783,2016,무사고,검정색,경기,7490,4WD
