,brand,name,type,km,year,accident,color,location,price,wd,trim
200,현대,제네시스,가솔린,95828,2014,무사고,검정색,경기,2020,2WD,3.0
201,현대,쏘나타,가솔린,83172,2019,무사고,검정색,광주,1650,2WD,1.0
202,현대,제네시스,가솔린,54049,2016,무사고,검정색,서울,2320,2WD,1.0
203,현대,그랜저,가솔린,10312,2019,무사고,검정색,광주,3030,2WD,3.0
205,현대,쏘나타,가솔린,78438,2016,무사고,검정색,경기,1480,2WD,1.0
206,현대,쏘나타,가솔린,124525,2010,무사고,검정색,충남,549,2WD,3.0
207,현대,그랜저,가솔린,61168,2019,무사고,검정색,대구,2399,2WD,2.0
210,현대,제네시스,가솔린,236099,2010,무사고,검정색,경기,600,2WD,2.0
213,현대,그랜저,하이브리드,69150,2019,무사고,검정색,충남,2999,2WD,3.0
215,현대,그랜저,LPG,92070,2017,무사고,검정색,경기,1560,2WD,1.0
216,현대,그랜저,LPG,109429,2011,무사고,검정색,전북,990,2WD,4.0
217,현대,그랜저,가솔린,92357,2018,무사고,검정색,대구,1950,2WD,2.0
218,현대,그랜저,LPG,89494,2019,무사고,검정색,광주,1949,2WD,1.0
219,현대,싼타페,디젤,74019,2015,무사고,검정색,울산,1750,2WD,2.0
220,현대,그랜저,LPG,128851,2018,무사고,검정색,충남,1759,2WD,1.0
221,현대,그랜저,하이브리드,80249,2018,무사고,검정색,서울,2250,2WD,2.0
224,현대,그랜저,가솔린,78906,2016,무사고,검정색,광주,1460,2WD,1.0
225,현대,그랜저,가솔린,179739,2014,무사고,검정색,경기,720,2WD,1.0
226,현대,그랜저,가솔린,48410,2019,무사고,검정색,경기,2750,2WD,3.0
227,현대,그랜저,가솔린,74291,2017,무사고,검정색,서울,2270,2WD,3.0
228,현대,그랜저,가솔린,50883,2015,무사고,검정색,경기,1499,2WD,1.0
229,현대,그랜저,가솔린,93371,2010,무사고,검정색,광주,660,2WD,1.0
231,현대,그랜저,가솔린,68907,2017,무사고,검정색,경기,1740,2WD,1.0
232,현대,그랜저,가솔린,75253,2017,무사고,검정색,광주,1900,2WD,1.0
234,현대,제네시스,가솔린,40518,2016,무사고,검정색,대전,2790,AWD,2.0
235,현대,제네시스,가솔린,188229,2012,무사고,검정색,대전,850,2WD,2.0
237,현대,그랜저,LPG,108674,2018,무사고,검정색,광주,1670,2WD,1.0
240,현대,제네시스,가솔린,60319,2016,무사고,검정색,인천,3050,AWD,2.0
