,info
디젤 2WD X20 럭셔리   ,10
디젤 2.2 프리미엄 기본형   ,10
1.6 터보 2WD모던 팝,10
1.6 e-VGT 프리미엄,10
2.0 LPG(렌터카용),10
2.2 디젤 7인승 캘리그래피   ,10
TM 디젤 2.2 4WD 프레스티지  ,9
디젤 2WD 300X,9
디젤(VGT) 2WD MX,9
디젤 2.0 2WD익스클루시브 스페셜,9
 라이즈 2.0 LPi 장애인용 모던 ,9
모던,9
1.4 터보스타일,9
TM 가솔린 2.0T 2WD 프리미엄  ,9
디젤(e-VGT) 2.2 2WD 프리미엄,9
프리미엄 스페셜,9
CVVL 모던,9
가솔린 1.6 터보 4WD,9
3.0 LPi 익스클루시브 (렌터카용),9
1.4 VVT 프리미엄,9
 라이즈 2.0 LPi 택시 스타일 ,9
1.6 터보 스포츠코어,9
2.0 T-GDi 익스클루시브    ,9
1.6 GDi 스타일,9
L330 탑,8
2.0프리미엄,8
1.6 터보인스퍼레이션,8
디젤 1.7 2WD모던,8
2.0 가솔린프리미엄 밀레니얼,8
하이브리드 2.0 HEV 프리미엄   ,8
프리미엄 패밀리,8
가솔린 2.5 4WD캘리그래피,8
2.0 터보 스마트,8
1.6 GDI 탑,8
1.4 VVT 스마트    ,8
VS380모던,8
디젤 1.6 모던 아트   ,8
디젤 2.2 모던 기본형   ,8
M16 GDI 프리미엄,8
프리미엄스페셜,8
디젤(e-VGT) 2.2 4WD 프리미엄,8
3.0 LPi 모던    ,8
터보 GDi 익스트림,8
1.6 GDi 모던기본형,8
N,8
1.6 VVT 프리미어,8
1.6 T-GDi 스포츠    ,8
 프라임 디젤 R2.2 4WD 7인승 익스클루시브,8
CM 2WD(2.0 VGT) MLX 고급형  ,7
1.6 터보프리미엄 패밀리,7
하이브리드 2.0 P-HEV 익스클루시브   ,7
4WD 어린이보호차,7
2.5 터보 (N 라인)인스퍼레이션,7
1.6 T-GDi 스포츠 오리지널   ,7
디젤 2.2 4WD파이니스트 에디션,7
380 GT-R,7
웨건 11인승,7
1.6 T-GDi 스포츠 익스트림 셀렉션  ,7
1.6 HEV,7
BH330 그랜드프라임팩,7
15인승,7
1.6 플럭스,7
N20 엘레강스 스페셜,7
어린이보호차 LPi,7
2.0 프리미엄세부등급 없음,7
1.6 GDi 프리미엄,7
LPI 스마트(장애인용),7
1.6 GDi 모던 스페셜   ,7
디젤 1.6 VGT 프리미어,7
1.6 e-VGT 스타일,7
Y20 그랜드,7
T-Gdi 2.0N,7
1.6 터보 스마트,7
디젤 2WD LX20 프리미어   ,7
1.6 터보 N Line,6
가솔린 2.0T 2WD프레스티지,6
LPG HG300 택시형,6
TM 디젤 2.0 2WD 익스클루시브 스페셜 ,6
가솔린 3.3 2WD,6
가솔린 3.3익스클루시브,6
2WD(2.0VGT) CLX,6
 프라임 디젤 R2.0 2WD 7인승 프리미엄,6
1.6 터보N Line,6
3인승 밴스마트,6
초장축 더블캡스마트,6
JS330,6
가솔린 2.5캘리그래피,6
TM 디젤 2.2 2WD 익스클루시브  ,6
디젤 2.2 2WD익스클루시브,6
디젤(e-VGT) 4WD,6
하이브리드 2.0 로얄    ,6
HG300 프리미엄 컬렉션,6
TM 디젤 2.0 4WD 익스클루시브  ,6
1.4 VVT 스마트,6
위트 디젤 1.6 VGT 모던,6
2.0 스타일스페셜,6
CM 2WD(2.0 e-VGT) MLX 럭셔리  ,6
디젤 1.6 2WD모던,6
1.6 터보 스포츠7DCT,6
초장축 더블캡프리미엄,6
가솔린 2.5프리미엄 초이스,6
 프라임 디젤 R2.2 4WD 5인승 1,6
LPI Q270 모범형,6
1.6 e-VGT 프리미엄    ,6
디젤 2.0 2WD모던,6
HG220 디젤 모던    ,6
3.8 가솔린 7인승 AWD 캘리그래피  ,6
디젤 2WD 익스클루시브,6
디젤 2WD 300VXL,6
디젤(e-VGT) 2.0 4WD 익스클루시브,6
TM 디젤 2.2 2WD 인스퍼레이션  ,6
디젤 1.6 VGT 익스트림,6
가솔린 1.6모던,6
디젤 2WD LMX20,6
5인승 LPi 밴 CVX 럭셔리  ,6
LPI 프리미어,5
디젤 1.6 2WD모던 아트,5
5인승 LPi 밴,5
 라이즈 하이브리드 2.0 HEV 스마트 ,5
200 터보 RW,5
CVVL 스타일,5
1.6 e-VGT 스타일    ,5
1.6 터보 2WD모던 초이스,5
Q270 럭셔리기본형,5
2.4 모던 베이직 (렌터카),5
HG220 디젤 프리미엄    ,5
 프라임 디젤 R2.0 2WD 5인승 모던,5
1.4 T-GDi 모던    ,5
BH330 프리미엄기본형,5
2.0 LPG(장애인용),5
하이브리드 2.0 프리미어    ,5
디젤 2.2 4WD인스퍼레이션,5
디젤 2.2 4WD프레스티지,5
4WD 12인승 왜건,5
1.6 터보 2WD 플럭스,5
위트 1.4 VVT 모던   ,5
2.0로열,5
12인승 LPi 왜건 CVX 프리미엄  ,5
N20 트랜스폼,5
M16 GDI 디럭스,5
PYL,5
G330 익스클루시브,5
디젤 2WD LX20 스마트팩   ,5
2.2 디젤 7인승 익스클루시브   ,5
4WD 웨건 12인승,5
1.6 VVT S16 LUXURY   ,5
1.6 LPi 스타일,5
디젤 2WD LX20 럭셔리   ,5
디젤(e-VGT) 2.0 2WD 스마트,5
G300 모던 베이직,5
Y20 월드컵 스페셜 에디션,5
하이브리드 (DN8) 2.0 하이브리드 프리미엄  ,5
LPG N20 Luxury    ,5
가솔린 1.6 하이브리드프리미엄 스폐셜,5
1.6프리미엄,5
밴 5인승모던,5
디젤 2.0 2WD1 밀리언,5
디젤(e-VGT) 2.0 2WD 익스클루시브세부등급 없음,5
TM 가솔린 2.0T 4WD 익스클루시브 스페셜 ,5
TM 가솔린 2.0T 4WD 인스퍼레이션  ,5
1.6 VVT Deluxe    ,5
5인승 밴스마트,5
디젤 2.2 4WD프레스티지 (8인승),4
디젤 1.6 스마트    ,4
1.6 VGT Premier    ,4
TM 디젤 2.0 4WD 프레스티지  ,4
CVVL 어트랙션,4
가솔린 3.3 4WD프레스티지,4
하이브리드 (DN8) 2.0 하이브리드 프리미엄 밀레니엄 ,4
가솔린 1.6 터보 2WD프리미엄,4
4WD JX290 골드,4
1.6 GDi 프리미엄    ,4
LPG N20 (장애인용),4
가솔린 2.4 하이브리드캘리그래피,4
스마트,4
2.0 GDi모던,4
4WD 웨건 11인승,4
1.4 VVT 밸류 플러스   ,4
2.4 익스클루시브 스페셜,4
Saloon 1.7 VGT PYL   ,4
12인승 LPi,4
장애인용 3.0 LPi 익스클루시브 스페셜  ,4
디젤(e-VGT)2.2 4WD 익스클루시브 5인승 스페셜  ,4
1.6 터보 스타일,4
디젤 2.0 2WD인스퍼레이션,4
디젤 1.6 VGT 유니크,4
2.0 LPi(장애인용)인스퍼레이션,4
Y20 럭셔리,4
가솔린 4WD 380VXL,4
2WD(2.0VGT) 스타일팩,4
가솔린 1.6 터보 2WD모던,4
1.7 디젤 모던,4
디젤 1.6 VGT 모던,4
라운지 7인승,4
디젤 2.2 2WD익스클루시브 스페셜,4
1.6 터보 스포츠익스트림 셀렉션,4
12인승 LPi 왜건,4
BH380 프레스티지,4
2.0프리미어,4
디젤 1.6 VGT 프리미엄,4
 프라임 디젤 R2.2 2WD 5인승 익스클루시브,4
1.4 터보 모던코어,4
LPG N20 럭셔리,4
디젤 4WD LX20,4
모던 스페셜,4
LPI Q270 팩2,4
CVVL 프라임,4
4WD 어반 9인승,4
LPG N20 렌터카,4
1.4 T-GDi 모던 코어   ,4
N20 디럭스,4
LPG N20 Premier    ,4
2.2 디젤 8인승 AWD 익스클루시브  ,4
1.6 GDI 유니크,4
2.0 HEV프리미엄,4
LPI 디럭스,4
1.6 VVT Luxury    ,4
1.4 VVT 밸류 플러스,4
하이브리드 (DN8) 2.0 하이브리드 인스퍼레이션  ,4
M16 GDI 블루세이버,4
1.6 e-VGT 스마트세부등급 없음,3
1.6 터보 스마트스페셜,3
4WD(2.2 e-VGT) MLX,3
LPI Q270 개인형,3
3.0 LPi (렌터카용),3
LPG N20 프리미어,3
2WD(2.2VGT) CLX,3
1.4 VVT 모던(장애인용),3
G380 익스클루시브,3
F24 GDI,3
디젤 1.6 PYL,3
가솔린 3.3 4WD 익스클루시브,3
디젤 2WD 익스클루시브스페셜,3
LPG 3.0 (일반인판매용)익스클루시브,3
LPi 럭셔리     ,3
1.7 디젤 스타일,3
2.0 스마트스페셜,3
디젤 4WD LMX20,3
1.4 VVT 럭셔리,3
1.6 GDI 프리미어,3
2WD(2.2VGT) 스타일팩,3
디젤(e-VGT) 2.2 4WD 익스클루시브기본형,3
F20 터보 GDI,3
12인승 CRDi,3
1.6 VGT 프리미엄    ,3
디젤 1.7 2WD모던 피버,3
디젤 1.6 2WD프리미엄,3
 프라임 디젤 R2.2 4WD 7인승 프리미엄,3
하이브리드 1.6 HEV 모던 스페셜  ,3
디젤(VGT) 2WD JX,3
Y20 프라임고급형,3
LPI Q270 팩1,3
CM 2WD(2.0 VGT) CLX 최고급형  ,3
디젤(e-VGT) 2.2 4WD 익스클루시브스페셜,3
HG240 스페셜,3
가솔린(람다)3.3 2WD 익스클루시브 7인승 스페셜  ,3
초장축 더블캡하이-슈퍼,3
2.0 LPi프리미엄,3
3.0 모던 베이직,3
Y20 탑고급형,3
2.0 디 스펙,3
1.6 터보 마이 시티 에디션,3
디젤 2.0 2WD밸류 플러스,3
M16 GDi DELUXE    ,3
JS380,3
디젤(VGT) 2WD MXL,3
위트 1.4 VVT 모던,3
1.6 VGT 스마트기본형,3
1.6 VGT PYL    ,3
N20 럭셔리,3
가솔린 2.0T 4WD프레스티지,3
G380 파이니스트 에디션,3
TM 디젤 2.0 2WD 프리미엄  ,3
1.6 GDi Premier    ,3
디젤 2WD LMX20 프리미엄   ,3
LPG HG300 프리미엄    ,3
구조변경(가솔린),3
1.6스마트 초이스,3
2WD(2.0 e-VGT) CLX,3
4WD 캠핑카,3
디젤(e-VGT) 2.0 4WD 모던,3
2.0 가솔린스마트,3
위트 디젤 1.6 VGT 프리미어,3
1.6 GDi 텐밀리언 리미티드기본형,3
1.6 VGT 모던    ,3
디젤 2.2 4WD캘리그래피,3
하이브리드 2.0 스마트    ,3
Saloon 1.7 VGT D-spec   ,3
3.8 가솔린 7인승 캘리그래피   ,3
1.6 VVT Premier    ,3
1.7 디젤 스마트 스페셜   ,3
Q270 24주년 스페셜 에디션,3
1.4 VVT 프리미엄    ,3
3.0 LPi 익스클루시브 기본형   ,3
가솔린 2.0 GDI 2WD,3
CM 4WD(2.2 e-VGT) CLX 디럭스  ,3
2.0 VGT 디젤 2WD MX 최고급형 ,3
투어러 9인승,3
가솔린 2.0T 2WD익스클루시브 스페셜,3
디젤 4WD 300X,3
가솔린 2.5T 2WD,3
가솔린 2.5T 4WD,3
1.6스타일,3
15인승럭셔리,3
Y20 프리미어세부등급 없음,3
2.0 LPi인스퍼레이션,2
11인승 왜건CVX 럭셔리,2
디젤(e-VGT) 2.2 2WD 익스클루시브스페셜,2
LPG HG300 렌터카 프라임   ,2
JS350,2
3.8 가솔린 8인승 익스클루시브   ,2
1.6 터보프리미엄,2
LPG HG300 익스클루시브    ,2
 프라임 디젤 R2.2 4WD 5인승 익스클루시브,2
2WD(2.0 e-VGT) SLX,2
2.0스마트,2
1.6 GDi 텐밀리언 리미티드,2
9인승 V6 LPG,2
LPG N20 고급형,2
2.0 스타일세부등급 없음,2
1.4 터보프리미엄,2
가솔린 2.0T 4WD익스클루시브 스페셜,2
어반 9인승익스클루시브,2
380 GT-P,2
VS380프레스티지,2
가솔린 2.5익스클루시브,2
LPG N20 디럭스,2
2.0 VGT 디젤 2WD JX 고급형 ,2
초장축 더블캡모던,2
6인승 윈도우밴,2
3.0 LPi 모던 베이직 (렌터카용),2
CVVL 블루세이버,2
디젤 1.6 2WD모던 테크,2
1.6 VVT 익스트림,2
LPG HG300 장애인용    ,2
디젤 2.0 2WD스마트,2
3.0 LPi (택시형),2
 라이즈 2.0 LPi 렌터카 프리미엄 ,2
카고 3인승,2
HDeII,2
BH330 프리미엄다이나믹,2
가솔린 1.6 터보 2WD모던 피버,2
1.7 디젤 스마트세부등급 없음,2
1.6 터보 스마트세부등급 없음,2
1.6 터보프리미엄 밀레니얼,2
가솔린 터보 1.6 (N라인) 4WD인스퍼레이션,2
디젤 1.6 VGT 럭셔리,2
2.0 GDi 스마트,2
리무진2WD 익스클루시브 (9인승),2
LPi 프리미어     ,2
가솔린 3.8 4WD프레스티지 (8인승),2
디젤 2WD X20 디럭스   ,2
디젤 1.6 VGT E16,2
디젤(e-VGT) 2.2 2WD 익스클루시브기본형,2
디젤 2.2 2WD파이니스트 에디션,2
위트 1.6 GDI 프리미엄,2
380 GT-RW,2
3인승 LPi 밴 CVX 럭셔리  ,2
가솔린 1.6인스퍼레이션,2
1.6 PYL DCT,2
7인승 인터쿨러슈퍼,2
1.4 VVT 스타일,2
LPG N20 일반형,2
2.0 HEV모던,2
프리미엄 밀레니얼,2
1.6 e-VGT 스마트스페셜,2
디젤 1.6 4WD,2
디젤 2.0 4WD프리미엄,2
장애인용 3.0 LPi 프리미엄 스페셜  ,2
2.5 터보 N Line,2
2.0 VGT 디젤 2WD MX 고급형 ,2
프라다 GP500,2
CM 2WD(2.0 VGT) CLX 디럭스  ,2
디젤(e-VGT)2.2 2WD 익스클루시브 7인승 스페셜  ,2
1.6 터보 4WD프리미엄,2
 프라임 디젤 R2.0 4WD 7인승 프리미엄,2
Q270 기본형,2
가솔린 3.3 2WD프레스티지,2
BH330 모던스페셜,2
1.6 VGT 익스트림    ,2
디젤 1.6스마트,2
N20 블랙 프리미엄,2
2.0 GL,2
4WD JX290,2
디젤(e-VGT) 2.2 4WD 익스클루시브세부등급 없음,2
디젤 2.2 4WD프레스티지 (7인승),2
2.2 디젤 8인승 익스클루시브   ,2
1.6 터보 프리미엄,2
위트 1.6 VGT 스마트   ,2
초장축 슈퍼캡스마트,2
디젤 4WD 익스클루시브스페셜,2
M16 GDi TOP    ,2
프리미엄세부등급 없음,2
1.6 터보 모던,2
Y20 로얄,2
 브릴리언트 CVVL 스타일   ,2
디젤 1.6 2WD모던 팝,2
1.6 LPi 스마트,2
12인승 LPi 왜건 CVX 럭셔리  ,2
가솔린 1.6 터보 (N라인)스포츠,2
디젤 2.2 2WD프레스티지 (8인승),2
 라이즈 하이브리드 2.0 HEV 프리미엄 스페셜,2
1.4 VVT Premier    ,2
디젤 2.0 GOLD 9인승 기본형  ,2
3.0 LPi 장애인용익스클루시브 스페셜,2
M16 GDI 스타일,2
1.6 터보 스포츠모던,2
2WD(2.0 e-VGT) MLX럭셔리,2
위트 디젤 1.6 VGT 스마트,2
2.0 LPi(렌터카용)스마트,2
2.0 PYL,2
2.0 디젤 2WD GVS 기본형  ,2
N20 스마트 블랙팩,2
LPI Q270 모범형 팩2,2
1.6 VGT 유니크    ,2
디젤(e-VGT) 2.0 4WD 스마트,2
1.4 VVT 스타일    ,2
냉동차,2
디젤 1.6 VGT 스타일,2
1.6스마트 베스트 초이스 패키지,2
Q240 기본형,2
초장축 슈퍼캡골드,2
VS380프리미엄,2
 브릴리언트 CVVL 스마트   ,2
GS350,1
N20 프리미어 블랙고급형,1
앰뷸런스,1
 라이즈 하이브리드 2.0 HEV 모던 ,1
1.6 VGT 스타일+    ,1
1.6 GDI 블루세이버,1
5인승 밴CVX 프리미엄,1
디젤 2.0 4WD프레스티지,1
투어러 11인승,1
디젤 2.2 투어러 2WD9인승 모던,1
 라이즈 하이브리드 2.0 HEV 프리미엄 ,1
4WD(2.2 e-VGT) CLX,1
1.7 디젤 스타일    ,1
1.6 터보 스포츠프리미엄,1
가솔린 3.3 4WD익스클루시브,1
Saloon 1.7 VGT PREMIUM   ,1
TM 가솔린 2.0T 4WD 프리미엄  ,1
BH380 로얄기본형,1
가솔린 2.4 하이브리드익스클루시브,1
유니크,1
5.0 수출형,1
2.0 HEV모던 스페셜,1
4WD 라운지 7인승,1
4.6 수출형,1
1.6 GDi Top    ,1
1.6 VVT X16프리미어 블랙,1
초장축 슈퍼캡 하이내장탑차,1
카고 5인승,1
디젤(e-VGT) 2.2 2WD 익스클루시브세부등급 없음,1
5인승 LPi 밴 CVX 프리미엄  ,1
가솔린 2.5스폐셜,1
1.6 터보 썸머 스페셜,1
4WD 장축 더블캡스마트,1
하이루프,1
가솔린 2.0 2WD,1
카미,1
1.6 GDi 밸류플러스    ,1
LPG HG300 렌터카 이그제큐티브   ,1
1.6 VVT S16럭셔리 어드밴스팩,1
3.8 가솔린 7인승 익스클루시브   ,1
1.4 DOHC 럭셔리,1
휠체어 리프트/슬로프,1
CM 2WD(2.0 VGT) MLX 기본형  ,1
2.0모던,1
디젤 2.2 카고3인승 모던,1
수출형 2WD,1
2.0 T-GDi 스마트    ,1
Y20 프리미어최고급형,1
3.8 AWD 수출형,1
디젤 2WD X20럭셔리,1
4WD 2.9 CRDi 디젤 JX290 GOLD 최고급형,1
L3.5 어린이보호차,1
2.0 디젤 2WD JX   ,1
초장축 더블캡스타일,1
LPG HG300 택시 모범형   ,1
디젤(e-VGT) 2.2 4WD 스마트,1
Q270 럭셔리스마트팩,1
2.2 디젤 7인승 VIP   ,1
VS450,1
1.6 VVT 디럭스,1
디젤 1.5 VGT GL,1
1.6 VGT 스타일,1
N20 프리미어,1
디젤 2WD 300VX럭셔리,1
디젤 1.7 2WD스마트,1
2.2 디젤 7인승 AWD 익스클루시브  ,1
3.0 LPI 익스클루시브,1
2.0 GDi프리미엄,1
4DR 1.5 GLSi TRX,1
디젤(e-VGT) 2.2 4WD 모던,1
S25,1
2.0 익스트림 셀렉션,1
4WD(2.2VGT) MLX,1
디젤 2.0 4WD익스클루시브 스페셜,1
CM 2WD(2.2 e-VGT) SLX 프리미엄  ,1
디젤 2.0 4WD익스클루시브,1
4WD 투어러 9인승,1
디젤 4WD 300VX프리미어,1
1.6 VVT E16디럭스,1
2.0 VL,1
CM 2WD(2.0 VGT) MLX 최고급형  ,1
1.6 PYL,1
디젤 1.7 2WD프리미엄,1
 브릴리언트 CVVL 프리미엄   ,1
1.7 디젤 스마트    ,1
3.0 V6,1
1.6 VGT 스타일    ,1
HG300 익스클루시브 컬렉션,1
12인승 왜건CVX 럭셔리,1
디젤 2.2 4WD익스클루시브,1
수출형,1
가솔린 2.5 2WD캘리그래피,1
2WD(2.2 e-VGT) MLX프리미어,1
1.6 VGT 프리미엄기본형,1
3인승 LPi 밴 CVX 스마트  ,1
2.4 모던 베이직,1
1.6 VVT S16 PREMIER   ,1
가솔린 1.6스마트,1
디젤 2WD 300X밸류,1
Y20 프라임최고급형,1
2.0 LPi프리미엄 패밀리,1
CM 2WD(2.0 VGT) SLX 고급형  ,1
웨건 11인승모던,1
12인승 LPi 왜건 CVX 스마트  ,1
가솔린 1.4 DOHC 엘레강스,1
1.7 VGT D-spec    ,1
I,1
 프라임 디젤 R2.0 4WD 5인승 1milion,1
1.8 DOHC,1
VL380,1
1.6 LPi스타일(렌터카용),1
디젤(e-VGT)2.2 4WD 익스클루시브 6인승 기본형  ,1
N20 엘레강스 스페셜고급형,1
디젤 1.6 2WD 플럭스프리미엄 스페셜,1
TM 가솔린 2.0T 4WD 프레스티지  ,1
윙바디 초장축 슈퍼캡수동식윙바디,1
N세부등급 없음,1
가솔린 4WD 380VX,1
LPG N20 렌터카 일반형   ,1
1.4 DOHC 가솔린 ELEGANCE   ,1
12인승,1
지프 엑시드,1
