,brand,name,info,type,km,year,color,location,accident,price
109,기아,올 뉴 모닝 (JA),터보 프레스티지,가솔린,30434,2017,검정색,경북,무사고,1040
110,기아,K7 프리미어 하이브리드,시그니쳐,가솔린+전기,29466,2020,청색,경북,무사고,3840
111,현대,그랜저 IG 하이브리드,익스클루시브세부등급 없음,가솔린+전기,34595,2019,흰색,경기/인천,무사고,3190
112,지프,그랜드 체로키,3.6 오버랜드WK2,가솔린,78872,2015,흰색,경기/인천,무사고,2810
113,기아,K8,가솔린 2.5시그니처,가솔린,5578,2022,녹색,충남,무사고,4380
114,제네시스,G80,3.3 GDI AWD프리미엄 럭셔리,가솔린,93356,2017,검정색,경기/인천,단순교환,3190
115,쉐보레(GM대우),올 뉴 말리부,1.8 하이브리드 LT디럭스,가솔린+전기,18122,2018,흰색,경기/인천,무사고,2250
116,현대,코나 하이브리드,가솔린 1.6 하이브리드프리미엄 스폐셜,가솔린+전기,19488,2020,쥐색,서울,무사고,2560
117,벤츠,GLE-클래스 W166,GLE350 d 4MATIC 쿠페,디젤,114997,2017,흰색,서울,무사고,5390
118,기아,K8,가솔린 2.5시그니처,가솔린,3883,2022,쥐색,경기/인천,무사고,4370
119,르노삼성,SM6,2.0 LPe LE (장애인용),LPG,91657,2017,흰색,경기/인천,무사고,1430
120,르노삼성,SM6,2.0 GDe LE,가솔린,75930,2019,흰색,경북,무사고,1520
121,현대,그랜저 IG,3.0 LPi 장애인용익스클루시브 스페셜,LPG,64048,2018,쥐색,충북,단순교환,2590
122,볼보,V40,D3 모멘텀2세대,디젤,33118,2018,쥐색,경기/인천,무사고,2280
123,폭스바겐,뉴 티구안,2.0 TDI 프리미엄5N,디젤,88131,2014,흰색,경기/인천,무사고,1670
124,기아,K5 2세대,2.0 MX노블레스,가솔린,35347,2018,진주색,전북,무사고,1870
125,현대,그랜드 스타렉스,3인승 밴스마트,디젤,116468,2016,은색,경기/인천,단순교환,1250
126,기아,올 뉴 K7 하이브리드,노블레스,가솔린+전기,93793,2017,검정색,경기/인천,무사고,2390
127,쉐보레(GM대우),캡티바,2WD LT 디럭스팩,디젤,33588,2018,진주색,경기/인천,단순교환,1720
128,기아,더 뉴 K5 하이브리드 2세대,노블레스세부등급 없음,가솔린+전기,30078,2019,흰색,경기/인천,무사고,2310
129,르노삼성,SM6,2.0 LPe RE (장애인용),LPG,31166,2019,흰색,전남,단순교환,1740
130,제네시스,G80,3.3 GDI AWD럭셔리,가솔린,132721,2017,검정색,경기/인천,무사고,2420
131,현대,벨로스터-N,T-Gdi 2.0N,가솔린,20214,2021,흰색,서울,무사고,3190
132,기아,올 뉴 K3,프레스티지,가솔린,66822,2019,은색,경남,사고,1470
133,쉐보레(GM대우),임팔라,3.6 프리미어,가솔린,27640,2019,검정색,경기/인천,무사고,2590
134,현대,쏘나타 DN8,2.0 가솔린스마트,가솔린,43770,2020,흰색,전북,무사고,1930
135,제네시스,G80,3.3 GDI AWD프레스티지,가솔린,115743,2018,검정색,경기/인천,무사고,3040
136,제네시스,G80,3.3 GDI AWD프리미엄 럭셔리,가솔린,123040,2018,검정색,서울,무사고,2910
137,벤츠,E-클래스 W212,E300 4MATIC 아방가르드,가솔린,84559,2015,은회색,경기/인천,단순교환,2690
138,현대,코나,1.6 터보 2WD모던 아트,가솔린,26601,2018,흰색,경기/인천,무사고,1990
139,기아,K8,가솔린 3.5 2WD시그니처,가솔린,3439,2022,쥐색,서울,무사고,4820
140,기아,더 뉴 카니발,9인승 노블레스 스페셜,디젤,11955,2020,흰색,경기/인천,무사고,3490
141,현대,그랜저 IG,3.0 익스클루시브스페셜,가솔린,66349,2018,검정색,경남,단순교환,2390
142,현대,그랜저 IG,2.4 프리미엄세부등급 없음,가솔린,57732,2018,쥐색,경기/인천,무사고,2250
143,벤츠,GLA-클래스 X156,GLA45 AMG 4MATIC,가솔린,56782,2018,검정색,경기/인천,무사고,3840
144,기아,레이,프레스티지,가솔린,87987,2012,하늘색,경남,무사고,820
145,현대,쏘나타 뉴 라이즈,2.0 스타일,가솔린,28870,2018,쥐색,경북,무사고,1590
146,쉐보레(GM대우),더 넥스트 스파크,LT플러스,가솔린,32187,2017,흰색,경남,무사고,810
147,쉐보레(GM대우),더 뉴 트랙스,1.6 디젤 LTZ,디젤,60848,2017,쥐색,충남,무사고,1480
148,현대,그랜저 HG,HG240 럭셔리,가솔린,124061,2011,검정색,서울,무사고,950
149,폭스바겐,티구안 올스페이스,2.0 TDI 프레스티지,디젤,8624,2020,흰색,충북,무사고,4100
150,기아,더 뉴 K7,2.4 GDI 프레스티지 스페셜,가솔린,107818,2013,검정색,전남,단순사고(접촉),1050
151,르노삼성,SM6,1.6 TCe RE,가솔린,78152,2016,쥐색,경기/인천,단순교환,1520
152,르노삼성,SM6,2.0 GDe RE,가솔린,73301,2016,흰색,전남,단순교환,1430
153,기아,올 뉴 쏘렌토,디젤 2.0 2WD프레스티지,디젤,80281,2016,흰색,경남,무사고,1830
154,쉐보레(GM대우),더 넥스트 스파크,LTZ,가솔린,16518,2018,흰색,경남,무사고,890
155,기아,레이,럭셔리,가솔린,17303,2017,진주색,경기/인천,무사고,1080
156,쉐보레(GM대우),올란도,1.6 디젤 다이나믹,디젤,62754,2016,흰색,서울,무사고,1180
157,현대,아반떼 AD,1.6 GDI 모던스페셜,가솔린,67541,2016,흰색,경기/인천,단순교환,1370
158,현대,쏘나타 하이브리드,2.0로열,가솔린+전기,85776,2012,하늘색,경기/인천,무사고,1080
159,기아,K5 2세대,2.0 SX노블레스 스페셜,가솔린,38961,2016,진주색,경북,단순교환,1770
160,벤츠,E-클래스 W213,E300 4MATIC AMG Line,가솔린,56403,2017,쥐색,서울,무사고,4930
