,name,brand,color,fuel,accident,price,mile,model
7028,올 뉴 말리부,쉐보레(GM대우),흰색,가솔린,무사고,1730,71256,1.5 터보 LTZ세부등급 없음
7029,쏘나타 뉴 라이즈,현대,흰색,LPG,무사고,1450,56639,LPI 스타일
7030,그랜저 IG,현대,검정색,가솔린,단순교환,2560,79389,3.3 셀러브리티
7031,올 뉴 카니발,기아,검정색,디젤,무사고,1850,131484,9인승 노블레스
7032,86,도요타,쥐색,가솔린,단순사고(접촉),2840,5302,2.0
7033,K7 프리미어 하이브리드,기아,흰색,가솔린+전기,무사고,3860,26930,시그니쳐
7034,더 뉴 모닝,기아,흰색,가솔린,무사고,770,56982,럭셔리
7035,G70,제네시스,검정색,가솔린,무사고,3730,44763,2.0T스포츠 패키지
7036,올 뉴 말리부,쉐보레(GM대우),진주색,가솔린,무사고,1940,40311,2.0 터보 LTZ프리미엄
7037,K5 2세대,기아,청색,디젤,단순사고(접촉),990,118521,1.7 디젤 SX럭셔리
7038,ES300h 7세대,렉서스,검정색,가솔린+전기,무사고,5230,16600,럭셔리 플러스
7039,K5 2세대,기아,은색,가솔린,무사고,1670,46589,2.0 SX프레스티지
7040,K3,기아,쥐색,가솔린,단순사고(접촉),1130,52452,노블레스
7041,더 뉴 아베오 세단,쉐보레(GM대우),흰색,가솔린,무사고,930,17525,1.4 터보 LS
7042,더 뉴 쏘렌토,기아,흰색,디젤,무사고,2980,40163,디젤 2.2 2WD노블레스 스페셜
7043,올 뉴 말리부,쉐보레(GM대우),청색,가솔린,무사고,1790,45220,2.0 터보 LTZ프리미엄
7044,더 뉴 레이,기아,진주색,가솔린,무사고,1460,12126,프레스티지
7045,더 뉴 아반떼,현대,쥐색,가솔린,단순교환,900,87666,1.6 GDi 모던기본형
7046,더 뉴 맥스크루즈,현대,청색,가솔린,무사고,2360,74912,가솔린 3.3 2WD프레스티지
7047,팰리세이드,현대,흰색,디젤,무사고,3910,29424,디젤 2.2 2WD프레스티지 (7인승)
7048,SM5 노바,르노삼성,흰색,가솔린,무사고,1300,37102,클래식
7049,코나,현대,검정색,가솔린,무사고,1990,24721,1.6 터보 2WD모던 아트
7050,말리부,쉐보레(GM대우),검정색,가솔린,무사고,780,112393,2.0 LTZ
7051,더 뉴 K5 2세대,기아,쥐색,디젤,무사고,1840,15605,1.7 디젤프레스티지
7052,더 뉴 니로,기아,쥐색,가솔린+전기,무사고,2860,13548,노블레스 스폐셜
7053,체로키(KL),지프,흰색,디젤,무사고,2440,60404,2.2 디젤 리미티드 4WD
7054,베리 뉴 티볼리,쌍용,청색,가솔린,무사고,1820,8912,1.5 가솔린 2WDV3 스폐셜
7055,올 뉴 모닝 (JA),기아,쥐색,LPG,무사고,990,75525,LPi 럭셔리
7056,SM6,르노삼성,진주색,가솔린,무사고,2250,18207,2.0 GDe RE
7057,올 뉴 카니발,기아,흰색,디젤,무사고,1990,66941,9인승 럭셔리
7058,더 뉴 스포티지 R,기아,흰색,디젤,단순사고(접촉),1230,94970,디젤 2WD 트렌디
7059,SM7 노바,르노삼성,검정색,LPG,단순교환,1290,48021,LPLI 2.0 LPe세부등급없음
7060,아반떼 AD,현대,검정색,가솔린,무사고,1390,49103,1.6 GDI 밸류 플러스
7061,더 뉴 K5 2세대,기아,검정색,가솔린,무사고,1830,63014,2.0노블레스
