,brand,name,year,info,km,location,price,type,color,websites
4794,쌍용,티볼리,15/10식,LX 2WD,"59,880km",부산,"1,280",가솔린,흰색,Ncar
4795,현대,코나,18/03식,디젤 1.6 2WD,"82,220km",광주,"1,550",디젤,흰색,Ncar
4796,쉐보레(GM대우),올 뉴 말리부,16/10식(17년형),2.0 터보 LTZ,"67,828km",경기,"1,720",가솔린,흰색,Ncar
4797,현대,투싼 ix,11/04식,디젤 2WD LX20,"152,163km",울산,940,디젤,흰색,Ncar
4798,쌍용,코란도 투리스모,14/06식,4WD GT 11인승,"242,920km",충남,549,디젤,흰색,Ncar
4799,,,,,,,,,흰색,Ncar
4800,쌍용,티볼리,15/09식(16년형),디젤 VX 2WD,"71,893km",경기,"1,230",디젤,흰색,Ncar
4801,쌍용,코란도 스포츠,13/07식(14년형),CX7 4WD,"185,729km",전북,880,디젤,흰색,Ncar
4802,기아,올 뉴 모닝 (JA),17/07식,밴,"59,178km",경기,500,가솔린,흰색,Ncar
4803,기아,올 뉴 모닝,12/09식(13년형),디럭스 스페셜,"30,059km",경기,650,가솔린,흰색,Ncar
4804,기아,스포티지 더 볼드,19/02식,가솔린 2.0 2WD,"31,201km",경기,"2,460",가솔린,흰색,Ncar
4805,현대,쏘나타 더 브릴리언트,13/09식(14년형),LPI 프리미엄,"119,502km",광주,790,LPG(일반인 구입),흰색,Ncar
4806,현대,싼타페 DM,13/07식(14년형),디젤(e-VGT) 2.0 2WD 스마트,"125,751km",광주,"1,250",디젤,흰색,Ncar
4807,기아,더 뉴 모하비,17/05식(18년형),디젤 3.0 4WD,"55,630km",경기,"3,100",디젤,흰색,Ncar
4808,르노삼성,XM3,20/03식,1.3 TCe RE 시그니처,"36,619km",경기,"2,100",가솔린,흰색,Ncar
4809,기아,스포티지 4세대,17/11식(18년형),디젤 2.0 4WD 노블레스,"76,753km",서울,"1,750",디젤,흰색,Ncar
4810,현대,아반떼 MD,11/05식(12년형),M16 GDI 럭셔리,"131,229km",대구,690,가솔린,흰색,Ncar
4811,현대,제네시스 쿠페,10/01식,200 터보 P,"154,672km",대구,699,가솔린,흰색,Ncar
4812,현대,YF 쏘나타,12/04식,LPI 프리미어(장애인용),"135,573km",서울,699,LPG(일반인 구입),흰색,Ncar
4813,현대,더 뉴 아반떼,13/10식(14년형),1.6 GDi 프리미엄,"89,834km",대구,980,가솔린,흰색,Ncar
4814,기아,쏘렌토 R,12/03식,디젤 2.0 2WD TLX,"185,688km",전북,920,디젤,흰색,Ncar
4815,현대,쏘나타 (DN8),20/01식,2.0,"52,789km",충남,"2,270",가솔린,흰색,Ncar
4816,현대,싼타페 TM,19/08식(20년형),디젤 2.0 2WD,"26,936km",광주,"2,950",디젤,흰색,Ncar
4817,르노삼성,SM3 네오,14/06식(15년형),SE 플러스,"109,964km",경기,550,가솔린,흰색,Ncar
4818,현대,아반떼 AD,15/10식(16년형),1.6 GDI 모던,"112,102km",경기,"1,150",가솔린,흰색,Ncar
4819,기아,K5,10/07식(11년형),LPI 프레스티지,"152,685km",대구,640,LPG(일반인 구입),흰색,Ncar
4820,기아,올 뉴 모닝,14/12식(15년형),럭셔리,"72,444km",경기,590,가솔린,흰색,Ncar
4821,현대,아이오닉 하이브리드,16/02식,Q,"90,659km",경기,"1,670",가솔린+전기,흰색,Ncar
4822,쌍용,티볼리 에어,17/09식(18년형),디젤 IX 2WD,"100,352km",울산,"1,190",디젤,흰색,Ncar
4823,쉐보레(GM대우),트래버스,20/06식,3.6 AWD 레드라인,"19,558km",경기,"4,530",가솔린,흰색,Ncar
4824,기아,올 뉴 모닝 (JA),17/12식(18년형),프레스티지,"38,742km",경북,"1,030",가솔린,흰색,Ncar
4825,현대,제네시스 쿠페,09/09식(10년형),200 터보 P,"94,228km",경기,830,가솔린,흰색,Ncar
4826,쉐보레(GM대우),더 넥스트 스파크,16/09식(17년형),LTZ,"83,523km",광주,680,가솔린,흰색,Ncar
4827,현대,YF 쏘나타,09/11식(10년형),LPI 프리미어(장애인용),"158,124km",대구,520,LPG(일반인 구입),흰색,Ncar
4828,현대,아반떼 MD,13/01식,M16 GDI 에비뉴,"101,298km",대구,669,가솔린,흰색,Ncar
4829,기아,올 뉴 K7,19/03식,2.4 GDI 프레스티지,"27,907km",대구,"2,385",가솔린,흰색,Ncar
4830,기아,더 뉴 K5,14/10식(15년형),LPI 노블레스,"124,803km",전북,"1,099",LPG(일반인 구입),흰색,Ncar
4831,제네시스,GV80,20/12식,3.0 디젤 AWD,"13,050km",경기,"7,690",디젤,흰색,Ncar
4832,현대,싼타페 더 프라임,17/02식,디젤 2.0 2WD,"101,071km",광주,"1,920",디젤,흰색,Ncar
4833,르노삼성,QM5,08/03식,디젤 2WD LE,"147,738km",울산,479,디젤,흰색,Ncar
4834,현대,쏘나타 하이브리드 (DN8),19/10식(20년형),프리미엄,"56,600km",전남,"2,550",가솔린+전기,흰색,Ncar
4835,현대,올 뉴 투싼,17/07식(18년형),디젤 2.0 2WD,"102,953km",대구,"1,699",디젤,흰색,Ncar
4836,쉐보레(GM대우),크루즈,12/04식,1.8 LTZ,"94,247km",전북,490,가솔린,흰색,Ncar
4837,기아,셀토스,19/07식(20년형),가솔린 1.6 터보 2WD,"12,921km",경기,"2,549",가솔린,흰색,Ncar
4838,현대,YF 쏘나타,10/01식,LPI 프리미어(장애인용),"150,344km",경기,599,LPG(일반인 구입),흰색,Ncar
4839,기아,K5 2세대,17/06식(18년형),2.0 MX,"42,597km",광주,"1,650",가솔린,흰색,Ncar
