,brand,name,year,info,km,location,price,type,color
92,현대,쏘나타 (DN8),19/09식(20년형),2.0,"49,905km",경기,"2,040",가솔린,빨강색
93,기아,셀토스,19/11식(20년형),디젤 1.6 2WD,"15,205km",서울,"2,390",디젤,빨강색
94,기아,프라이드(신형),08/07식,5DR 1.4 DOHC LX,"33,209km",경남,300,가솔린,빨강색
95,기아,더 뉴 레이,19/09식,프레스티지,"34,600km",전북,"1,480",가솔린,빨강색
96,현대,쏘나타 (DN8),19/09식(20년형),2.0,"35,896km",광주,"2,200",가솔린,빨강색
97,기아,올 뉴 카니발,16/08식(17년형),9인승 노블레스,"232,879km",경기,"1,390",디젤,빨강색
98,현대,벨로스터,11/08식(12년형),익스트림,"127,555km",대구,590,가솔린,빨강색
99,현대,쏘나타 (DN8),19/09식(20년형),2.0,"49,905km",경기,"2,040",가솔린,빨강색
100,제네시스,G70,19/03식,2.0T AWD,"30,686km",경기,"3,430",가솔린,빨강색
101,기아,스팅어,17/05식(18년형),3.3 터보 2WD,"84,850km",경기,"2,790",가솔린,빨강색
102,현대,쏘나타 (DN8),19/09식(20년형),2.0,"49,905km",경기,"2,040",가솔린,빨강색
103,제네시스,G70,19/03식,2.0T AWD,"30,686km",경기,"3,430",가솔린,빨강색
104,기아,올 뉴 카니발,16/08식(17년형),9인승 노블레스,"232,879km",경기,"1,390",디젤,빨강색
105,기아,스팅어,17/05식(18년형),3.3 터보 2WD,"84,850km",경기,"2,790",가솔린,빨강색
106,쌍용,티볼리,17/08식,디젤 TX 2WD,"61,308km",광주,"1,089",디젤,빨강색
107,르노삼성,QM3,15/10식,RE 시그니처,"81,835km",충북,995,디젤,빨강색
108,현대,i30 (PD),19/06식,1.6 터보,"30,000km",경기,"2,330",가솔린,빨강색
109,쉐보레(GM대우),스파크,14/05식,스파크 S,"80,600km",서울,450,가솔린,빨강색
110,쉐보레(GM대우),더 뉴 스파크,18/11식(19년형),프리미어,"36,687km",경기,899,가솔린,빨강색
111,기아,올 뉴 쏘울,14/04식,1.6 디젤 프레스티지,"165,026km",경기,519,디젤,빨강색
112,쉐보레(GM대우),더 넥스트 스파크,16/12식(17년형),LT,"47,683km",경기,690,가솔린,빨강색
113,기아,포르테 쿱,11/03식,1.6 GDI 럭셔리,"67,205km",인천,330,가솔린,빨강색
114,기아,쏘렌토 4세대,20/09식(21년형),HEV 1.6 4WD,"15,089km",경기,"4,650",가솔린+전기,빨강색
115,기아,올 뉴 모닝,12/10식(13년형),럭셔리,"82,200km",충남,460,가솔린,빨강색
116,기아,스팅어,19/01식,2.0 터보 2WD,"43,982km",대구,"3,450",가솔린,빨강색
117,기아,스팅어,17/07식(18년형),3.3 터보 2WD,"26,702km",경기,"2,890",가솔린,빨강색
118,쌍용,렉스턴 스포츠 칸,20/05식,디젤 2.2 4WD,"16,996km",경기,"2,890",디젤,빨강색
119,기아,더 뉴 모닝,15/04식(16년형),럭셔리,"67,944km",경기,650,가솔린,빨강색
120,제네시스,G70,19/02식,3.3T 스포츠 AWD,"77,994km",인천,"3,630",가솔린,빨강색
121,쌍용,티볼리,15/10식(16년형),LX 4WD,"43,479km",광주,"1,330",가솔린,빨강색
122,기아,쏘렌토 4세대,20/09식(21년형),HEV 1.6 4WD,"15,089km",경기,"4,650",가솔린+전기,빨강색
123,현대,벨로스터,12/07식(13년형),DCT팩,"105,773km",충남,730,가솔린,빨강색
124,기아,스팅어,17/05식(18년형),3.3 터보 2WD,"31,781km",서울,"3,190",가솔린,빨강색
125,기아,스팅어,20/04식,2.0 터보 AWD,818km,경기,"3,650",가솔린,빨강색
126,현대,코나 하이브리드,20/01식,모던 스페셜,"27,241km",충남,"2,390",가솔린+전기,빨강색
127,제네시스,G70,19/12식,2.0T,"23,677km",경기,"2,450",가솔린,빨강색
128,현대,코나 하이브리드,20/07식,프리미엄 스페셜,"3,959km",경기,"2,910",가솔린+전기,빨강색
129,쌍용,뉴코란도 C,14/07식,2.0 어드벤처 60th 에디션 4WD,"101,034km",충남,850,디젤,빨강색
130,기아,스팅어,18/05식,3.3 터보 2WD,"35,521km",경기,"3,090",가솔린,빨강색
131,기아,스팅어,20/06식,2.0 터보 2WD,"36,113km",부산,"3,590",가솔린,빨강색
132,기아,올 뉴 K3,18/11식(19년형),5도어 GT 플러스,"61,428km",경기,"2,060",가솔린,빨강색
133,현대,벨로스터,12/05식(13년형),터보 GDi 익스트림,"118,804km",대전,580,가솔린,빨강색
134,현대,벨로스터 (JS),18/10식,1.6 터보 스포츠,"14,074km",경기,"1,650",가솔린,빨강색
135,현대,코나 하이브리드,20/01식,모던 스페셜,"27,241km",충남,"2,390",가솔린+전기,빨강색
136,기아,스팅어,20/04식,2.0 터보 AWD,818km,경기,"3,650",가솔린,빨강색
137,현대,YF 쏘나타,11/11식(12년형),Y20 프리미어,"105,241km",대구,590,가솔린,빨강색
138,기아,더 뉴 모닝,15/04식(16년형),럭셔리,"67,944km",경기,650,가솔린,빨강색
139,제네시스,G70,19/02식,3.3T 스포츠 AWD,"77,994km",인천,"3,630",가솔린,빨강색
140,현대,올 뉴 투싼,19/02식,디젤 1.6 2WD,"44,559km",경기,"2,270",디젤,빨강색
141,제네시스,G80 (RG3),21/05식,디젤 2.2 AWD,"4,231km",대구,"6,190",디젤,빨강색
142,현대,벨로스터,12/05식(13년형),터보 GDi 익스트림,"210,904km",경기,499,가솔린,빨강색
143,쉐보레(GM대우),스파크,14/12식,LS+,"84,005km",울산,450,가솔린,빨강색
144,,,,,,,,,빨강색
145,현대,더 뉴 코나,20/10식(21년형),가솔린 1.6 터보 4WD,"3,526km",전북,"2,830",가솔린,빨강색
146,쉐보레(GM대우),올 뉴 카마로,12/09식(17년형),SS 6.2 V8 볼케이노 레드,"61,171km",경기,"2,840",가솔린,빨강색
147,기아,스팅어,18/05식,3.3 터보 2WD,"35,521km",경기,"3,090",가솔린,빨강색
148,기아,올 뉴 K3,18/11식(19년형),5도어 GT 플러스,"61,428km",경기,"2,060",가솔린,빨강색
149,르노삼성,클리오,18/07식,인텐스,"47,760km",충남,"1,377",디젤,빨강색
150,현대,아반떼 AD,16/08식(17년형),1.6 GDI 스마트,"17,271km",충남,"1,300",가솔린,빨강색
151,쉐보레(GM대우),더 넥스트 스파크,17/08식(18년형),LTZ,"41,341km",광주,770,가솔린,빨강색
152,현대,코나,18/09식,디젤 1.6 2WD,"75,698km",전북,"1,690",디젤,빨강색
153,현대,YF 쏘나타,11/11식(12년형),Y20 프리미어,"105,241km",대구,590,가솔린,빨강색
154,기아,더 뉴 모닝,15/04식(16년형),럭셔리,"67,944km",경기,650,가솔린,빨강색
155,제네시스,G70,19/02식,3.3T 스포츠 AWD,"77,994km",인천,"3,630",가솔린,빨강색
156,현대,올 뉴 투싼,19/02식,디젤 1.6 2WD,"44,559km",경기,"2,270",디젤,빨강색
157,제네시스,G80 (RG3),21/05식,디젤 2.2 AWD,"4,231km",대구,"6,190",디젤,빨강색
158,현대,벨로스터,12/05식(13년형),터보 GDi 익스트림,"210,904km",경기,499,가솔린,빨강색
159,쉐보레(GM대우),스파크,14/12식,LS+,"84,005km",울산,450,가솔린,빨강색
160,현대,더 뉴 코나,20/10식(21년형),가솔린 1.6 터보 4WD,"3,526km",전북,"2,830",가솔린,빨강색
161,쉐보레(GM대우),올 뉴 카마로,12/09식(17년형),SS 6.2 V8 볼케이노 레드,"61,171km",경기,"2,840",가솔린,빨강색
162,기아,스팅어,18/05식,3.3 터보 2WD,"35,521km",경기,"3,090",가솔린,빨강색
163,기아,올 뉴 K3,18/11식(19년형),5도어 GT 플러스,"61,428km",경기,"2,060",가솔린,빨강색
164,르노삼성,클리오,18/07식,인텐스,"47,760km",충남,"1,377",디젤,빨강색
165,현대,아반떼 AD,16/08식(17년형),1.6 GDI 스마트,"17,271km",충남,"1,300",가솔린,빨강색
166,쉐보레(GM대우),더 넥스트 스파크,17/08식(18년형),LTZ,"41,341km",광주,770,가솔린,빨강색
167,현대,코나,18/09식,디젤 1.6 2WD,"75,698km",전북,"1,690",디젤,빨강색
168,기아,올 뉴 모닝,14/09식(15년형),디럭스,"43,586km",경기,470,가솔린,빨강색
169,쉐보레(GM대우),크루즈,13/07식(14년형),1.8 LTZ+,"95,343km",서울,650,가솔린,빨강색
170,현대,코나,19/10식(20년형),1.6 터보 2WD,"13,692km",서울,"1,950",가솔린,빨강색
171,르노삼성,클리오,18/07식,인텐스,"47,760km",충남,"1,377",디젤,빨강색
172,현대,벨로스터,11/06식(12년형),익스트림,"109,464km",부산,650,가솔린,빨강색
173,쌍용,렉스턴 스포츠,18/07식(19년형),디젤 2.2 4WD,"68,225km",경기,"1,990",디젤,빨강색
174,쌍용,더 뉴 코란도 스포츠,16/08식(17년형),2.2 CX7 4WD,"42,000km",전북,"1,650",디젤,빨강색
175,쉐보레(GM대우),라세티 프리미어,09/12식(10년형),디젤 CDX 블루&블랙 에디션,"245,738km",경기,330,디젤,빨강색
176,기아,올 뉴 모닝,12/05식,바이퓨얼 디럭스,"121,473km",부산,390,가솔린+LPG,빨강색
177,기아,올 뉴 모닝,11/11식(12년형),바이퓨얼 럭셔리,"112,642km",충남,490,가솔린+LPG,빨강색
178,기아,프라이드(신형),08/12식(09년형),4DR 1.6 CVVT 골드 프리미엄,"151,000km",전북,280,가솔린,빨강색
179,쌍용,렉스턴 스포츠,18/07식(19년형),디젤 2.2 4WD,"68,225km",경기,"1,990",디젤,빨강색
180,쉐보레(GM대우),스파크,12/03식,LT,"61,000km",충남,450,가솔린,빨강색
181,기아,올 뉴 모닝,11/04식(12년형),디럭스 스페셜,"129,526km",대전,370,가솔린,빨강색
182,쌍용,티볼리 에어,17/04식,디젤 RX 4WD,"43,374km",경기,"1,450",디젤,빨강색
183,기아,스팅어,17/11식(18년형),3.3 터보 2WD,786km,서울,"3,250",가솔린,빨강색
184,현대,i30,08/10식(09년형),1.6 VVT 프리미어,"115,704km",대구,420,가솔린,빨강색
185,현대,벨로스터 (JS),18/05식,1.6 터보 스포츠,"45,156km",서울,"1,520",가솔린,빨강색
186,현대,쏘나타 (DN8),21/03식,2.5 터보 N Line,965km,부산,"3,090",가솔린,빨강색
187,쉐보레(GM대우),더 넥스트 스파크,16/05식,LT,"48,565km",대전,719,가솔린,빨강색
188,쉐보레(GM대우),크루즈,12/05식,1.8 LT+,"91,157km",충남,499,가솔린,빨강색
189,기아,올 뉴 프라이드,13/10식(14년형),1.6 GDI 해치백,"29,610km",전북,790,가솔린,빨강색
190,쌍용,액티언 스포츠,10/04식,4WD AX7 패션,"197,980km",울산,550,디젤,빨강색
191,현대,코나,17/09식(18년형),1.6 터보 2WD,"57,807km",경기,"1,690",가솔린,빨강색
192,기아,카니발 R,13/08식,그랜드 카니발 GLX,"102,129km",경기,720,디젤,빨강색
