,brand,fuel,location,mile,model,name,price,year
17002,현대,디젤,경기,188000.0,디젤 4WD 300VX,베라크루즈,950.0,2010
17003,제네시스,가솔린,대전,130540.0,3.3 GDI,G80,2480.0,2018
17004,현대,LPG(일반인 구입),충북,144194.0,LPG HG300 모던,그랜저 HG,1430.0,2016
17005,현대,가솔린,충북,35953.0,2.0 모던,쏘나타 뉴 라이즈,2080.0,2018
17006,기아,디젤,대전,88731.0,9인승 프레스티지,올 뉴 카니발,2130.0,2018
17007,기아,디젤,대전,160275.0,9인승 프레스티지,올 뉴 카니발,1590.0,2016
17008,기아,가솔린,서울,54000.0,3.3 터보 2WD,스팅어,3249.0,2018
17009,현대,가솔린,대전,94940.0,3.0 익스클루시브,그랜저 IG,2030.0,2018
17010,현대,가솔린,대구,107373.0,2.4 모던,그랜저 IG,1770.0,2018
17011,기아,디젤,경기,38080.0,디젤 2.2 2WD,더 뉴 쏘렌토,3100.0,2020
17012,현대,가솔린,충북,213389.0,3.8 수출형,제네시스,580.0,2011
